"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","응급환자이송업","01_01_07_P","6530000","200864200004000001","2008-01-22","","01","영업/정상","1","","","","","","0334343119","","","강원특별자치도 홍천군 홍천읍 연봉리 317번지 0호 0호","강원특별자치도 홍천군 홍천읍 무궁화로 9-0","","(주)129구급대","2025-06-30 15:49:34","U","2025-07-02 02:40:00","","276694.313694314","464772.854891823","","0","0","0","0","","","","","","5","9","","11","0","",
"2","응급환자이송업","01_01_07_P","6530000","201064200004000001","2010-08-06","","01","영업/정상","1","영업","","","","","0337355119","94","","강원특별자치도 원주시 명륜동  120번지 1호 1호","강원특별자치도 원주시 남원로 631-0 (명륜동)","","(주)한국 1339","2025-08-26 15:36:47","U","2025-08-28 02:40:00","","284281.344123131","426855.575022067","","0","0","0","0","","","","","","6","2","","0","0","",
"3","응급환자이송업","01_01_07_P","6530000","201864200004000001","2018-04-27","","01","영업/정상","1","영업","","","","","0332530129","134","","강원특별자치도 춘천시 후평동  720번지 10호 10호","강원특별자치도 춘천시 삭주로 160-0 (후평동)","","(주)바른인명구조단","2025-10-17 14:51:45","U","2025-10-19 02:40:00","","265728.726567472","487274.625657429","","0","0","0","0","","","","","","14","1","","19","0","",
"4","응급환자이송업","01_01_07_P","6530000","202064200004000001","2020-01-08","","01","영업/정상","1","영업","","","","","0335536399","90","","강원특별자치도 태백시 문곡동  120번지 0호 유브리안아파트 0호","강원특별자치도 태백시 편들길 41-0, 상가동 유브리안아파트층 104호 (문곡동,유브리안아파트)","","(주)강원129이송단","2025-10-17 15:46:53","U","2025-10-19 02:40:00","","377980.221271052","403841.871463572","","0","0","0","0","","","","","","11","4","","8","0","",
"5","응급환자이송업","01_01_07_P","6530000","202465300004000001","2024-12-31","","01","영업/정상","1","","","","","","0332525129","","","강원특별자치도 춘천시 동면 만천리 589번지 4호 만천로81,2층 4호","강원특별자치도 춘천시 동면 만천로 81-0","","(주)강원129구급대","2024-12-29 10:29:45","U","2024-12-31 02:40:00","","267211.481801319","486628.934267292","","0","0","0","0","","","","","","5","0","","","0","",
"6","응급환자이송업","01_01_07_P","6530000","202465300004000002","2024-12-29","","01","영업/정상","1","","","","","","0332525129","","","강원특별자치도 춘천시 동면 만천리 589번지 4호 만천로81,2층 4호","강원특별자치도 춘천시 동면 만천로 81-0","","(주)강원129구급대","2025-06-18 16:50:57","U","2025-06-20 02:40:00","","267211.481801319","486628.934267292","","0","0","0","0","","","","","","0","0","","","0","",
"7","응급환자이송업","01_01_07_P","6530000","200164200004000001","2001-07-20","","03","폐업","3","폐업","2008-06-04","","","","0336420129","","","강원특별자치도 강릉시 사천면 방동리 610번지 5호 5호","강원특별자치도 강릉시 사천면 방동길 19","","(주)라이프응급환자이송","2011-10-30 13:35:36","U","2025-08-01 15:46:59","","363335.279497666","480873.204335941","","0","0","0","0","","","","","","0","0","","","0","",
"8","응급환자이송업","01_01_07_P","6530000","200164200004000002","2001-04-26","","03","폐업","3","폐업","2010-05-12","","","","","","","강원특별자치도 강릉시 교동  1730번지 3호 3호","강원특별자치도 강릉시 원대로 35 (교동)","","(주)129구급대","2013-04-26 15:47:06","U","2025-08-01 15:46:59","","365737.383512348","474494.392775711","","0","0","0","0","","","","","","0","0","","","0","",
