업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명,데이터기준일자,위도,경도
일반음식점,별당막국수,"강원특별자치도 춘천시 춘천로81번길 15, 1층 (약사동)",강원특별자치도 춘천시 약사동 151-7 ,033 -254 -9603,한식,2025-04-30,37.8720784028616,127.724288384555
일반음식점,초심,강원특별자치도 춘천시 동내면 거두택지길26번길 9-19,강원특별자치도 춘천시 동내면 거두리 962-9 ,033 -262 -6636,한식,2025-04-30,37.8533865700771,127.754659549109
일반음식점,새술막막국수,강원특별자치도 춘천시 동산면 새술막길 695 (3리),강원특별자치도 춘천시 동산면 원창리 881 , 033- 261-2135,한식,2025-04-30,37.7861082215753,127.756615930853
일반음식점,함흥냉면옥,강원특별자치도 춘천시 시청길 16-1 (조양동),강원특별자치도 춘천시 조양동 24-1 , 033- 254-4994,한식,2025-04-30,37.8802612384283,127.729679343908
일반음식점,명동명물닭갈비,"강원특별자치도 춘천시 금강로62번길 8, 1층 (조양동)",강원특별자치도 춘천시 조양동 50-6 ,033 -244 -2961,식육(숯불구이),2025-04-30,37.8794990297877,127.727878302379
일반음식점,대박네집,강원특별자치도 춘천시 효자로 62-1 (효자동),강원특별자치도 춘천시 효자동 700-20 , 033- 242-1285,한식,2025-04-30,37.8691645358661,127.730425328944
일반음식점,또또아스넥,강원특별자치도 춘천시 명동길 49 (죽림동),강원특별자치도 춘천시 죽림동 159-3 ,033 -251 -3374,분식,2025-04-30,37.8769032220056,127.724336536611
일반음식점,부안막국수,강원특별자치도 춘천시 후석로344번길 7 (후평동),강원특별자치도 춘천시 후평동 419-1 ,033 -254 -0654,한식,2025-04-30,37.8817951163067,127.749462122075
일반음식점,감자바위,강원특별자치도 춘천시 보안길 17 (후평동),강원특별자치도 춘천시 후평동 801-9 , 033- 252-0953,한식,2025-04-30,37.8765790259628,127.753312936019
일반음식점,춘천연금술사,"강원특별자치도 춘천시 동면 공단로 95-1, 1층",강원특별자치도 춘천시 동면 장학리 794-7 ,033 -257 -5677,분식,2025-04-30,37.8944634045619,127.748147278045
일반음식점,검봉산칡국수,강원특별자치도 춘천시 남산면 강촌구곡길 164-6,강원특별자치도 춘천시 남산면 강촌리 404-1 ,033 -261 -2986,한식,2025-04-30,37.8033098598338,127.620893997255
일반음식점,나라앤미네,"강원특별자치도 춘천시 중앙로 41-3, 1층 (중앙로1가)",강원특별자치도 춘천시 중앙로1가 74 , 033- 256-2502,일식,2025-04-30,37.881154822492,127.728581605956
일반음식점,정담은,"강원특별자치도 춘천시 백령로165번길 2, 1층 (효자동)",강원특별자치도 춘천시 효자동 18-61 ,033 -243 -5662,한식,2025-04-30,37.8760022188,127.744736901059
일반음식점,구미닭갈비,강원특별자치도 춘천시 금강로62번길 9-1 (조양동),강원특별자치도 춘천시 조양동 138-14 , 033- 252-9653,식육(숯불구이),2025-04-30,37.8792015613035,127.727714994018
일반음식점,죽님동,강원특별자치도 춘천시 명동길29번길 2-21 (죽림동),강원특별자치도 춘천시 죽림동 11-103 ,,한식,2025-04-30,37.8777285000828,127.725458964712
일반음식점,원주맛통닭,강원특별자치도 춘천시 효자로 124 (효자동),강원특별자치도 춘천시 효자동 146-3 ,033 -241 -2027,통닭(치킨),2025-04-30,37.8735773751373,127.734438447341
일반음식점,특별하누,"강원특별자치도 춘천시 영서로 2153, 1층 (퇴계동)",강원특별자치도 춘천시 퇴계동 418-6 ,070 -7543-5355,정종/대포집/소주방,2025-04-30,37.8581607517667,127.733248438438
일반음식점,토대력(춘천점),"강원특별자치도 춘천시 효제길 5 (효자동, 1층)",강원특별자치도 춘천시 효자동 148-12 ,033 -253 -1179,정종/대포집/소주방,2025-04-30,37.8726086572419,127.734227775192
일반음식점,삼우매운탕,강원특별자치도 춘천시 신북읍 율문3길 15,강원특별자치도 춘천시 신북읍 율문리 301-1 ,033 -242 -1416,탕류(보신용),2025-04-30,37.926607808155,127.746648755136
일반음식점,촌집닭갈비,강원특별자치도 춘천시 남산면 강촌로 68,강원특별자치도 춘천시 남산면 강촌리 227-71 ,,식육(숯불구이),2025-04-30,37.8129022836932,127.633975298998
일반음식점,원조마늘통닭집,강원특별자치도 춘천시 금강로 40 (낙원동),강원특별자치도 춘천시 낙원동 28-1 ,033 -252 -9979,식육(숯불구이),2025-04-30,37.8807021855824,127.726732104796
일반음식점,춘천사랑닭갈비,강원특별자치도 춘천시 낙원길 47-1 (낙원동),강원특별자치도 춘천시 낙원동 16-1 ,033 - 256-9211,식육(숯불구이),2025-04-30,37.8803811149032,127.726611987016
