연번,시도,시군구,업태,주메뉴,업소명,주소,최초 지정일자
695,강원특별자치도,영월군,한식,"닭갈비, 돼지갈비",장원갈비,"강원특별자치도 영월군 영월읍 중앙로 93-1, 1층",2023-11-16
696,강원특별자치도,영월군,한식,한우등심,평양냉면,강원특별자치도 영월군 영월읍 중앙1로 22-7,2023-11-16
697,강원특별자치도,평창군,한식,"등심, 갈비",황소고집, 강원특별자치도 평창군 평창읍 평창중앙로 83-28,1999-05-03
698,강원특별자치도,평창군,한식,막국수,고향막국수, 강원특별자치도 평창군 봉평면 이효석길 142,2006-06-30
699,강원특별자치도,평창군,한식,막국수,봉평메밀미가연, 강원특별자치도 평창군 봉평면 기풍로 108,2004-06-28
700,강원특별자치도,평창군,횟집,생선회,국일관바다회, 강원특별자치도 평창군 평창읍 송학로 31,2008-06-27
701,강원특별자치도,평창군,한식,대관령한우,대관령한우타운, 강원특별자치도 평창군 대관령면 올림픽로 38,2009-06-30
702,강원특별자치도,평창군,한식,"막국수,수육",살구실막국수, 강원특별자치도 평창군 평창읍 후평길 37,2000-07-03
703,강원특별자치도,평창군,한식,"한정식, 불고기정식, 생선정식",한정식수라, 강원특별자치도 평창군 평창읍 평창중앙로 4,2012-11-01
704,강원특별자치도,평창군,횟집,"송어회, 송어튀김, 송어탕수",송어의집, 강원특별자치도 평창군 평창읍 아랫상리길 19-4,1992-07-01
705,강원특별자치도,평창군,한식,"소고기(등심,불고기), 돼지고기(갈비, 삼겹살)",초원갈비, 강원특별자치도 평창군 평창읍 백오로 124,2017-12-01
706,강원특별자치도,평창군,중식,중화요리,태화성, 강원특별자치도 평창군 평창읍 문화길 6,2016-12-01
707,강원특별자치도,평창군,한식,"백반, 돼지고기(삼겹살)",넘버85가든, 강원특별자치도 평창군 평창읍 노성로 225-19,2019-10-28
708,강원특별자치도,평창군,한식,"백숙, 닭볶음탕",청성미락, 강원특별자치도 평창군 평창읍 살구실길 53-50,2020-11-06
709,강원특별자치도,평창군,횟집,"송어회, 송어구이, 송어튀김",강원수산횟집, 강원특별자치도 평창군 미탄면 뚝방길 30-4,2009-06-30
710,강원특별자치도,평창군,한식,"메밀국수, 수육, 메밀만두",방림메밀막국수, 강원특별자치도 평창군 방림면 서동로 1323,2017-12-01
711,강원특별자치도,평창군,한식,"막국수, 메밀부침, 수육",토담막국수, 강원특별자치도 평창군 대화면 대화5길 4,2009-06-30
712,강원특별자치도,평창군,한식,"막국수, 강냉이국수, 한방수육",평창면옥, 강원특별자치도 평창군 대화면 대화3길 11,2013-11-01
713,강원특별자치도,평창군,한식,"소고기(등심, 불고기), 돼지고기(갈비, 삼겹살)",평창다솜방식당, 강원특별자치도 평창군 대화면 대화1길 10-10,2019-10-28
714,강원특별자치도,평창군,한식,"황태(전골,찜), 산채비빔밥, 오삼불고기",산채랑황태랑, 강원특별자치도 평창군 봉평면 태기로 320,2010-04-30
715,강원특별자치도,평창군,한식,황태더덕산채정식,봉평흔들바위, 강원특별자치도 평창군 봉평면 태기로 1,2017-12-01
716,강원특별자치도,평창군,한식,한우구이,평창한우마을 면온점, 강원특별자치도 평창군 봉평면 진조길 57,2016-12-01
717,강원특별자치도,평창군,한식,"메밀국수, 메밀묵, 감자만두",봉평메밀꽃향기, 강원특별자치도 평창군 봉평면 이효석길 33-5,2008-06-27
718,강원특별자치도,평창군,한식,"메밀국수, 메밀싹비빔밥, 수육",동이네막국수, 강원특별자치도 평창군 봉평면 이효석길 144,2013-11-01
719,강원특별자치도,평창군,한식,"메밀국수, 메밀모듬, 메밀만두",봉평메밀 허생원메밀국수, 강원특별자치도 평창군 봉평면 이효석길 134,2011-11-01
720,강원특별자치도,평창군,한식,"메밀국수, 메밀부침, 한방편육",풀내음, 강원특별자치도 평창군 봉평면 메밀꽃길 13,2008-06-27
721,강원특별자치도,평창군,한식,"돼지갈비,막국수",토담, 강원특별자치도 평창군 봉평면 기풍로 192,2004-06-28
722,강원특별자치도,평창군,한식,"메밀국수, 메밀부침, 수육",옛골, 강원특별자치도 평창군 봉평면 메밀꽃길 7,2021-11-10
723,강원특별자치도,평창군,횟집,"송어회, 송어튀김, 송어매운탕",물안골송어회, 강원특별자치도 평창군 용평면 운두령로 330,2017-12-01
724,강원특별자치도,평창군,한식,"소고기(등심, 불고기), 돼지고기(갈비, 삼겹살), 버섯전골",평창강, 강원특별자치도 평창군 용평면 새이들길 14-7,2005-07-01
725,강원특별자치도,평창군,한식,"소고기(등심, 불고기), 돼지고기(갈비, 삼겹살)",고려회관, 강원특별자치도 평창군 용평면 금송1길 14,2019-10-28
726,강원특별자치도,평창군,한식,"한정식, 불고기정식, 비빔밥",한국전통음식체험1관, 강원특별자치도 평창군 용평면 금당계곡로 2010-13,2015-11-30
727,강원특별자치도,평창군,한식,"소고기(등심, 불고기), 돼지고기(갈비, 생삼겹), 오리구이",청산회관, 강원특별자치도 평창군 진부면 진부중앙로 86-1,2008-06-27
728,강원특별자치도,평창군,한식,산채정식,부림식당, 강원특별자치도 평창군 진부면 진부중앙로 70-3,1992-07-01
729,강원특별자치도,평창군,한식,"소고기(등심, 불고기), 돼지고기(갈비, 삼겹살), 오리구이",우가(牛家), 강원특별자치도 평창군 진부면 진부새싹길 21,2016-12-01
730,강원특별자치도,평창군,한식,"산채정식, 황태구이, 더덕구이",오대산농원식당, 강원특별자치도 평창군 진부면 진고개로 36-29,2012-10-01
731,강원특별자치도,평창군,한식,"산채정식,황태구이정식",산들산채식당, 강원특별자치도 평창군 진부면 오대산로 95,2007-06-26
732,강원특별자치도,평창군,한식,"황태구이정식, 산채정식",오대산비로봉식당, 강원특별자치도 평창군 진부면 오대산로 90 ,2016-12-01
733,강원특별자치도,평창군,한식,"더덕산채정식,황태산채정식",오대산서울, 강원특별자치도 평창군 진부면 오대산로 83,2005-07-01
734,강원특별자치도,평창군,한식,"연잎밥 산채정식, 더덕구이, 황태구이",선재길식당," 강원특별자치도 평창군 진부면 오대산로 152, 5동 1·2층 2호",2017-12-01
735,강원특별자치도,평창군,한식,"황태구이정식, 산채정식",동대산," 강원특별자치도 평창군 진부면 오대산로 152, 5동 1·2층 1호",2006-06-29
736,강원특별자치도,평창군,한식,"산채정식,산채비빔밥",오대산산촌식당," 강원특별자치도 평창군 진부면 오대산로 152, 4동 1·2층 1호",2005-07-01
737,강원특별자치도,평창군,한식,"산채정식,산채비빔밥",오대산가마솥식당," 강원특별자치도 평창군 진부면 오대산로 152, 11동 1·2층",2005-07-01
738,강원특별자치도,평창군,한식,"황태구이정식, 산채정식, 토종닭",산수명산, 강원특별자치도 평창군 진부면 오대산3길 13,2008-06-27
739,강원특별자치도,평창군,한식,"한우구이, 한우주물럭, 도루묵찜",대관령숯불회관, 강원특별자치도 평창군 대관령면 횡계2길 3,2001-07-11
740,강원특별자치도,평창군,한식,"한우구이, 한우불고기, 갈비탕",노다지한우, 강원특별자치도 평창군 대관령면 올림픽로 155,2014-11-01
741,강원특별자치도,평창군,한식,"황태구이정식, 오삼불고기, 곤드레돌솥밥",노다지, 강원특별자치도 평창군 대관령면 올림픽로 153,2010-04-30
742,강원특별자치도,평창군,한식,"소고기(등심), 돼지고기(생삼겹살), 곤드레돌솥밥, 오삼불고기",큰우리본점, 강원특별자치도 평창군 대관령면 대관령로 192,2017-12-01
743,강원특별자치도,평창군,한식,"소고기(등심, 생갈비), 산채돌솥밥",(주)고향이야기, 강원특별자치도 평창군 대관령면 눈마을길 9,2000-07-03
744,강원특별자치도,평창군,한식,"황태(찜, 구이, 전골), 오삼불고기",황태덕장, 강원특별자치도 평창군 대관령면 눈마을길 21,1998-01-12
745,강원특별자치도,평창군,한식,"한우구이, 한우육회, 한우비빔밥",평창한우마을 대관령식당, 강원특별자치도 평창군 대관령면 경강로 5195-25,2016-12-01
746,강원특별자치도,평창군,한식,"황태구이정식, 더덕구이정식, 오징어불고기",황태통나무집식당, 강원특별자치도 평창군 대관령면 경강로 5098,2008-06-27
747,강원특별자치도,평창군,한식,오징불고기,납작식당," 강원특별자치도 평창군 대관령면 올림픽로 35, 1층",2019-10-28
748,강원특별자치도,평창군,한식,추어탕,대관령추어탕, 강원특별자치도 평창군 대관령면 대관령로 202-12,2019-10-28
749,강원특별자치도,평창군,한식,돼지갈비,뜨락식당, 강원특별자치도 평창군 평창읍 백오로 103,2022-11-15
750,강원특별자치도,평창군,한식,"오삼불고기, 가정식백반",선우식당, 강원특별자치도 평창군 봉평면 메밀꽃길 10-17,2022-11-15
751,강원특별자치도,평창군,한식,"버섯전골, 더덕구이",전주식당, 강원특별자치도 평창군 봉평면 태기로 344,2022-11-15
752,강원특별자치도,평창군,한식,한우구이,일송정, 강원특별자치도 평창군 봉평면 태기로 393,2022-11-15
753,강원특별자치도,평창군,한식,황태구이정식,(주)황태회관, 강원특별자치도 평창군 대관령면 눈마을길 19,2022-11-15
754,강원특별자치도,평창군,한식,"산채정식, 보리밥",늘봄먹거리," 강원특별자치도 평창군 봉평면 장촌길 3, 제1동",2023-11-13
755,강원특별자치도,정선군,한식," 삼겹살, 생선구이",혜원가든,정선군 사북읍 사북중앙로 18-1,2004.5.20.
756,강원특별자치도,정선군,한식,송어회,청송횟집,정선군 신동읍 함백로 106,2004.5.20.
757,강원특별자치도,정선군,한식,"탕류, 삼겹살",구미정,정선군 정선읍 용담길 91,2004.5.20.
758,강원특별자치도,정선군,한식,곤드레밥,동박골식당,정선군 정선읍 정선로 1314,2004.5.20.
759,강원특별자치도,정선군,한식,"등심, 삼겹살 ",낙원식당,정선군 고한읍 고한6길 18,2005.11.1.
760,강원특별자치도,정선군,한식,"송어, 향어백숙",할머니횟집,정선군 화암면 소금강로 80-23,2005.11.1.
761,강원특별자치도,정선군,한식,"등심, 삼겹살",윤가네한우마을,"정선군 고한읍 고한6길 15-7, 2층",2007.7.2.
762,강원특별자치도,정선군,한식,"족발, 콧등치기",동광식당,정선군 정선읍 녹송1길 27,2007.7.2.
763,강원특별자치도,정선군,한식,"등심, 삼겹살",현대숯불갈비,정선군 정선읍 봉양5길 40-5,2008.1.30.
764,강원특별자치도,정선군,한식,오리구이,송가네오리,정선군 정선읍 용담길 95,2010.8.23.
765,강원특별자치도,정선군,한식,한정식,대숲마을,정선군 고한읍 함백산로 1675,2011.11.1.
766,강원특별자치도,정선군,한식,"오리구이, 냉면",국일관,정선군 정선읍 봉양7길 17,2011.11.1.
767,강원특별자치도,정선군,한식,"막국수, 만두국",종갓집,정선군 정선읍 정선로 1332,2011.11.1.
768,강원특별자치도,정선군,양식,돈가스,유스패밀리&비비큐,정선군 정선읍 녹송로 93,2011.4.20.
769,강원특별자치도,정선군,한식,삼겹살,팔도숯불구이,정선군 북평면 북평7길 37,2012.11.1.
770,강원특별자치도,정선군,한식,"등심, 삼겹살",한우명가백운정,정선군 사북읍 사북중앙로 31,2012.11.1.
771,강원특별자치도,정선군,한식,한정식,옥산장 돌과이야기,정선군 여량면 여량3길 79,2012.11.1.
772,강원특별자치도,정선군,한식,곤드레밥,백복령펜션하우스식당,정선군 임계면 눈꽃마을길 895,2012.11.1.
773,강원특별자치도,정선군,한식,"족발, 콧등치기",한치식당,정선군 정선읍 녹송1길 30,2012.11.1.
774,강원특별자치도,정선군,한식,곤드레밥,싸리골 식당,정선군 정선읍 정선로 1312,2012.11.1.
775,강원특별자치도,정선군,한식,"한우, 곤드레밥",민둥산한우촌,정선군 남면 내자고치길 6,2013.11.6.
776,강원특별자치도,정선군,중식,"짜장면, 탕수육",만리장성,"정선군 사북읍 사북중앙로 11, 2층",2013.11.6.
777,강원특별자치도,정선군,한식,콧등치기,회동집2관,"정선군 정선읍 비봉로 58, 1층",2013.11.6.
778,강원특별자치도,정선군,한식,순대국밥,황토방병천순대,정선군 정선읍 애산로 53,2013.11.6.
779,강원특별자치도,정선군,한식,곤드레밥,관광농원가든,"정선군 정선읍 청량길 8, 1층",2013.11.6.
780,강원특별자치도,정선군,한식,송어회,정선송어횟집,정선군 고한읍 강원남로 6486,2014.11.4.
781,강원특별자치도,정선군,한식,두부전골,정선두부家,정선군 정선읍 봉양3길 22-4,2014.11.4.
782,강원특별자치도,정선군,한식,부대찌개,의정부 동오부대찌개(정선점),정선군 정선읍 봉양5길 40-1,2015.11.10.
783,강원특별자치도,정선군,중식,중화요리,평화반점,"정선군 정선읍 봉양6길 38(1,2층)",2015.11.10.
784,강원특별자치도,정선군,한식,"감자탕, 갈비탕",찬이네감자탕,정선군 사북읍 사북중앙로 35,2016.11.2.
785,강원특별자치도,정선군,한식,"한우숯불구이, 곤드레밥정식",사랑채,"정선군 정선읍 비봉로 56, 1층",2016.11.2.
786,강원특별자치도,정선군,한식,"등심, 삼겹살",하누돈실비,정선군 사북읍 사북중앙로 51-8,2017.11.1.
787,강원특별자치도,정선군,한식,곤드레밥,산마실,"정선군 정선읍 정선로 1368, 2층",2017.11.1.
788,강원특별자치도,정선군,한식,"막국수, 곤드레정식",메밀촌막국수,정선군 고한읍 고한로 79-1,2018.11.1.
789,강원특별자치도,정선군,한식,한우구이,정선농협한우타운,"정선군 정선읍 녹송로 8, 2층",2018.11.1.
790,강원특별자치도,정선군,한식,"고기국수, 닭백숙",정선풍경,정선군 정선읍 봉양2길 17-2,2018.11.1.
791,강원특별자치도,정선군,한식,"쇠고기구이, 삼겹살",한우리,정선군 사북읍 지장천로 705,2019.11.1.
792,강원특별자치도,정선군,한식,"곤드레밥, 명태조림",정원광장,정선군 신동읍 의림로 201,2019.11.1.
793,강원특별자치도,정선군,한식,"황태구이,닭볶음탕",맛있네맛있어,정선군 북평면 오대천로 631,2021.11.1.
794,강원특별자치도,정선군,한식,장어구이,미락장어,정선군 정선읍 녹송1길 18,2022.11.1.
795,강원특별자치도,정선군,한식,오리백숙,갈래골,정선군 고한읍 고한7길 5-10,2022.11.1.
796,강원특별자치도,정선군,한식,장어구이,정선애장어먹으러와요,정선군 정선읍 북평면 장열길 13,2022.11.1.
797,강원특별자치도,철원군,한식,민물매운탕,고석정가든,강원도 철원군 동송읍 창동로 2421,2017-11-10
798,강원특별자치도,철원군,한식,한탕강잡어매운탕,그린식당,강원도 철원군 동송읍 창동로 2405,2017-11-10
799,강원특별자치도,철원군,한식,삼계탕,금천식당,강원도 철원군 갈말읍 명성로158번길 51,2013-11-07
800,강원특별자치도,철원군,한식,"매운탕, 닭볶음탕",남대천황가네매운탕,강원도 철원군 갈말읍 군탄로 41,2016-05-09
801,강원특별자치도,철원군,한식,추어탕,대가,강원도 철원군 갈말읍 명성로 281,2005-08-31
802,강원특별자치도,철원군,한식,"돼지갈비,삼겹살",돈대감숯불화로구이,강원도 철원군 갈말읍 태봉로 1537,2006-08-23
803,강원특별자치도,철원군,한식,"한우구이,불고기,갈비탕",동주산성,강원도 철원군 갈말읍 호국로 4507,2017-05-11
804,강원특별자치도,철원군,한식,능이버섯백숙,둠지능이버섯백숙,강원도 철원군 서면 금강로 7516,2017-11-10
805,강원특별자치도,철원군,한식,오리훈제,마늘오리,강원도 철원군 동송읍 이평2로10번길 30,2010-08-16
806,강원특별자치도,철원군,식육(숯불구이),한우고기,민통선한우촌,강원도 철원군 갈말읍 호국로 4987 (1~2)층,2010-08-16
807,강원특별자치도,철원군,한식,감자탕,본때감자탕,강원도 철원군 철원읍 금학로251번길 6,2014-11-04
808,강원특별자치도,철원군,한식,오징어물회,서울식당,강원도 철원군 동송읍 태봉로 2177,2004-08-02
809,강원특별자치도,철원군,한식,"부대찌개,주물럭",영진식당,강원도 철원군 갈말읍 삼부연로 4-1,2006-08-24
810,강원특별자치도,철원군,식육(숯불구이),"소갈비,돼지갈비",영풍가든,강원도 철원군 김화읍 학사길 32,2004-08-02
811,강원특별자치도,철원군,한식,"순두부,두부전골,콩국수,아귀찜",외할머니손두부식당,강원도 철원군 갈말읍 삼부연로17번길 9,2007-06-21
812,강원특별자치도,철원군,한식,찜닭,일미리금계찜닭,강원도 철원군 동송읍 이평로 72,2009-07-14
813,강원특별자치도,철원군,한식,"매운탕,민물장어,비빔",임꺽정식당,강원도 철원군 동송읍 태봉로 1825,2004-08-02
814,강원특별자치도,철원군,중국식,"탕수육,팔보채,양장피",중국성,강원도 철원군 근남면 하오재로 2080,2007-06-22
815,강원특별자치도,철원군,한식,"한우등심, 막국수",철원막국수동송점,강원도 철원군 동송읍 금학로 75,2016-05-09
816,강원특별자치도,철원군,한식,"철원청정삼겹살,칡냉면",철원생고기,강원도 철원군 서면 자등로 614,2008-07-18
817,강원특별자치도,철원군,한식,"영양돌솥밥,명태찜",철원영양돌솥밥,강원도 철원군 갈말읍 명성로174번길 14,2004-08-02
818,강원특별자치도,철원군,한식,고추냉이갈비,철원오대갈비육대장 철원점,강원도 철원군 동송읍 이평2로17번길 15,2013-11-07
819,강원특별자치도,철원군,한식,"오리구이, 오리백숙",철원오리명가,강원도 철원군 동송읍 이평1로38번길 22,2017-11-10
820,강원특별자치도,철원군,한식,묵은지감자탕,추풍령감자탕,강원도 철원군 갈말읍 삼부연로17번안길 22-9,2014-11-04
821,강원특별자치도,철원군,한식,"설렁탕,도가니탕,한우생고기,한우육회",한우연,강원도 철원군 동송읍 금학로136번길 9,2009-07-14
822,강원특별자치도,철원군,한식,"자연산민물매운탕,철원청정육생고기",현무암,강원도 철원군 동송읍 태봉로 1825,2007-06-22
823,강원특별자치도,화천,한식,"닭갈비, 막국수",강산애닭갈비,강원특별자치도 화천군 화천읍 상승로1길 16-6,2013-10-08
824,강원특별자치도,화천,한식,쭈꾸미,그집 쭈꾸미,강원특별자치도 화천군 화천읍 산수화로5길 1,2018-04-05
825,강원특별자치도,화천,한식,한식뷔페,남가식당,강원특별자치도 화천군 간동면 간척월명로 311-1,2023-10-31
826,강원특별자치도,화천,한식,"나물밥,산천어밥(계절)",대청마루,강원특별자치도 화천군 화천읍 중앙로5길 8,2013-10-08
827,강원특별자치도,화천,한식,"오리백숙,LA갈비",미가,강원특별자치도 화천군 화천읍 중앙로4길 29-5,2019-11-09
828,강원특별자치도,화천,한식,국물조개찜,바다수퍼해물천하조개구이찜 화천점,강원특별자치도 화천군 화천읍 중앙로6길 33,2023-10-31
829,강원특별자치도,화천,한식,흑염소전골,분도 흑염소탕,강원특별자치도 화천군 화천읍 산수화로1길 5,2019-11-09
830,강원특별자치도,화천,한식,"더덕쌈정식,참숯불고기",산채골,강원특별자치도 화천군 화천읍 상승로 54-9,2013-10-08
831,강원특별자치도,화천,한식,"곰탕, 한우",산천정육식당,강원특별자치도 화천군 화천읍 산수화로 111,2021-11-29
832,강원특별자치도,화천,한식,"능이오리백숙, 갈비",서화산가든,강원특별자치도 화천군 화천읍 상승로 49-19,2016-11-03
833,강원특별자치도,화천,한식,"오리로스, 막국수",섬뜰마루,강원특별자치도 화천군 사내면 문화마을2길 19,2013-10-08
834,강원특별자치도,화천,한식,"등심,육회",소한마리,"강원특별자치도 화천군 화천읍 중앙로4길 12, 가4동 16가,다호",2018-11-09
835,강원특별자치도,화천,한식,"생선구이,삽겹살",어가육가,강원특별자치도 화천군 화천읍 중앙로7길 23 (외 1필지),2014-10-08
836,강원특별자치도,화천,한식,"생등심, 돼지갈비",우정갈비,강원특별자치도 화천군 화천읍 중앙로2길 23-12,2013-10-08
837,강원특별자치도,화천,한식,"오골계, 토종닭",웰빙 오골계세상,강원특별자치도 화천군 화천읍 가손이길 43,2013-10-08
838,강원특별자치도,화천,한식,"닭갈비,막국수",웰빙닭갈비,"강원특별자치도 화천군 사내면 사내로7길 18, 웰빙닭갈비",2013-10-08
839,강원특별자치도,화천,한식,"해물탕,돼지갈비",육해공,강원특별자치도 화천군 사내면 문화마을1길 27-17,2013-10-08
840,강원특별자치도,화천,한식,두부보쌈,콩사랑,강원특별자치도 화천군 화천읍 대이리길 39,2018-07-04
841,강원특별자치도,화천,한식,"삼겹살,갈비탕",포락정,강원특별자치도 화천군 상서면 영서로 7746,2017-12-08
842,강원특별자치도,화천,한식,"냉면, 육개장, 갈비",함흥관,강원특별자치도 화천군 화천읍 중앙로9길 20-55,2023-10-31
843,강원특별자치도,화천,한식,"민물장어, 곰장어",항아리장어,강원특별자치도 화천군 화천읍 중앙로8길 21,2023-10-31
844,강원특별자치도,화천,한식,"막국수,만두전골",화천막국수,강원특별자치도 화천군 화천읍 평화로 217,2014-10-08
845,강원특별자치도,화천,한식,"나물밥,등심",화천삼나물밥상,강원특별자치도 화천군 화천읍 중앙로1길 14-5,2017-12-08
846,강원특별자치도,화천,중식,"탕수육,볶음우동",만리향,강원특별자치도 화천군 상서면 영서로 7706-1,2013-10-08
847,강원특별자치도,화천,중식,"자장면,탕수육",중국성,"강원특별자치도 화천군 화천읍 중앙로2길 13-4, 1-2층",2013-10-08
848,강원특별자치도,화천,분식,"즉석떡볶이, 돈까스",따봉,강원특별자치도 화천군 화천읍 중앙로6길 13-9,2021-11-29
849,강원특별자치도,화천,한식,"소고기, 돼지고기",산마을가든,강원특별자치도 화천군 사내면 사내로 57,2013-10-08
850,강원특별자치도,양구군,한식,막국수,광치막국수,강원특별자치도 양구군 남동로 34-9,1992.08.24.
851,강원특별자치도,양구군,식육,돈육구이,꽃보다 소 양구점,강원특별자치도 양구군 중앙길 33-16,2022.10.26.
852,강원특별자치도,양구군,한식,삼계탕,도촌삼계탕,강원특별자치도 양구군 청춘로 39-37,2017.11.07.
853,강원특별자치도,양구군,한식,추어탕,마당너른집전통추어탕,강원특별자치도 양구군 택지길 58-19,2005.12.01.
854,강원특별자치도,양구군,분식,떡볶이,모범떡볶이,강원특별자치도 양구군 중앙길 51,2020.10.30.
855,강원특별자치도,양구군,일식,바다회,바다애,강원특별자치도 양구군 해시계로 28-1,2022.10.26.
856,강원특별자치도,양구군,양식,"치킨,돈가츠",비비큐·우쿠야,강원특별자치도 양구군 중앙길 15,2019.11.11.
857,강원특별자치도,양구군,한식,고기류 샤브,샤브향,강원특별자치도 양구군 양남로 16번길 3,2013.10.28.
858,강원특별자치도,양구군,횟집,바다회,회마을,강원특별자치도 양구군 비봉로 65,2022.10.26.
859,강원특별자치도,양구군,한식,"냉면, 막국수",소나무함흥냉면막국수,강원특별자치도 양구군 청춘로 82-38,2015.10.19.
860,강원특별자치도,양구군,한식,시래기 정식,시래정,강원특별자치도 양구군 황강길 16-23,2017.11.07.
861,강원특별자치도,양구군,일식,"민물회, 매운탕",양구수산횟집,강원특별자치도 양구군 양록길 23번길 6-2,2006.12.01.
862,강원특별자치도,양구군,식육,숯불갈비,오래드림 고원,강원특별자치도 양구군 양록길 23번길 12-7,2009.12.01.
863,강원특별자치도,양구군,식육,돈육구이,이가돈가,강원특별자치도 양구군 사명길 118-10,2022.10.26.
864,강원특별자치도,양구군,한식,"두부전골, 백숙",정중앙맛집,강원특별자치도 양구군 해시계로 14,2016.11.10.
865,강원특별자치도,양구군,일식,"참치회, 바다회",청참치,강원특별자치도 양구군 양록길 23번길 6-11,2016.11.10.
866,강원특별자치도,인제군,한식,"돼지갈비,생삼겹살",고기촌 화로 숯불구이,인제군 기린면 내린천로 4013,2011.11.15
867,강원특별자치도,인제군,한식,"오리한방수육,두부전골",정원식당,인제군 남면 삼팔선로 2115,2002.05.06
868,강원특별자치도,인제군,경양식,"닭가슴살스테이크,안심",레스토랑안단테,인제군 북면 갈골로1길 6-5,2011.11.15
869,강원특별자치도,인제군,한식,황태구이정식,산골황태삼대식당,인제군 북면 미시령로 1368,2015.11.30
870,강원특별자치도,인제군,한식,질경이양식,성원식당,인제군 북면 원통로 169,2017.12.04
871,강원특별자치도,인제군,한식,"장작설렁탕,왕갈비탕",다올가든,인제군 북면 원통로 256,2015.11.30
872,강원특별자치도,인제군,식육(숯불구이),"한우암소,돼지갈비",우돈가,인제군 북면 원통로 316,2007.06.01
873,강원특별자치도,인제군,식육(숯불구이),"돼지갈비,등심",설악숯불갈비,인제군 북면 원통로147번길 24-2,2005.07.01
874,강원특별자치도,인제군,한식,황태정식,용바위식당,인제군 북면 진부령로 107,2012.11.09
875,강원특별자치도,인제군,한식,황태정식,황태명품관식당,인제군 북면 황태길 373,2015.11.30
876,강원특별자치도,인제군,식육(숯불구이),"한우등심,돼지갈비",한우명가,인제군 인제읍 비봉로15번길 22,2010.12.23
877,강원특별자치도,인제군,식육(숯불구이),"돼지갈비, 삼겹살",삼호숯불갈비,인제군 인제읍 비봉로16번길 9,2003.06.03
878,강원특별자치도,인제군,한식,"계절비빔밥, 석쇠불고기",인제골,인제군 인제읍 비봉로30번길 42,2011.11.15
879,강원특별자치도,인제군,분식,"바지락칼국수, 콩국수",모이세칼국수,인제군 인제읍 비봉로44번길 25,2005.07.01
880,강원특별자치도,인제군,한식,숯불닭갈비,미소숯불닭갈비,인제군 인제읍 인제로 322,2015.11.30
881,강원특별자치도,인제군,식육(숯불구이),"한우불고기, 삼겹살",일미장,인제군 인제읍 인제로188번길 1,2002.05.06
882,강원특별자치도,인제군,한식,황태구이정식,부흥식당,인제군 북면 황태길 367,2002.05.06
883,강원특별자치도,인제군,한식,해물찜,부자네,인제군 북면 원통로 92,2021.11.22
884,강원특별자치도,고성군,한식,"해물탕,곰치국,생선찜 등",함흥식당,강원특별자치도 고성군 거진읍 거탄진로 148,2016-12-15
885,강원특별자치도,고성군,식육(숯불구이),"돼지갈비, 등심, 갈비살, 냉면",백송숯불갈비,강원특별자치도 고성군 간성읍 간성로 31-1,2009-07-27
886,강원특별자치도,고성군,한식,"생태찌개, 두루치기",성진회관,강원특별자치도 고성군 거진읍 거탄진로 99,2002-07-05
887,강원특별자치도,고성군,식육(숯불구이),육류,일미숯불갈비,강원특별자치도 고성군 거진읍 거진길 38-5,2020-10-20
888,강원특별자치도,고성군,냉면집,"등심, 돼지갈비",장안면옥,강원특별자치도 고성군 간성읍 간성로30번길 10,2001-06-07
889,강원특별자치도,고성군,한식,"막국수,오리백숙",동명능이백숙,강원특별자치도 고성군 거진읍 자산천로 36,2001-06-07
890,강원특별자치도,고성군,횟집,"회,매운탕,물회",동해활어자연산전문점,강원특별자치도 고성군 토성면 아야진해변길 80,2012-11-01
891,강원특별자치도,고성군,한식,"막국수, 시골두부",화진포박포수가든,강원특별자치도 고성군 현내면 화진포서길 76,2007-07-13
892,강원특별자치도,고성군,한식,"부대찌개,갈비탕,낙지비빔밥",경희맛집,강원특별자치도 고성군 간성읍 간성북로 4,2017-11-29
893,강원특별자치도,고성군,횟집,"생선회,생선매운탕,물회",금강산횟집,강원특별자치도 고성군 현내면 대진항길 85,2016-12-15
894,강원특별자치도,고성군,횟집,"생선회, 매운탕",경기이천횟집,강원특별자치도 고성군 거진읍 거진항1길 73,2018-11-16
895,강원특별자치도,고성군,식육(숯불구이),오리고기,가조오리숯불구이,강원특별자치도 고성군 토성면 용원로 650-20,2020-10-20
896,강원특별자치도,고성군,한식,"막국수,메밀전,편육",메밀촌 봉평 막국수,강원특별자치도 고성군 거진읍 포남길 46,2019-11-08
897,강원특별자치도,고성군,횟집,"생선회,생선매운탕,물회",청보,강원특별자치도 고성군 죽왕면 공현진해변길 95-3,2016-12-15
898,강원특별자치도,고성군,한식,"막국수, 수육, 메밀부침",금화정 막국수,강원특별자치도 고성군 토성면 화원길 42-21,2011-10-27
899,강원특별자치도,고성군,한식,"설렁탕,버섯전골,묵은지시레기해장국 등",마실,강원특별자치도 고성군 거진읍 자산천로 41,2016-12-15
900,강원특별자치도,고성군,식육(숯불구이),"한우특수부위모듬, 등심, 육회비빔밥",고성한우촌,강원특별자치도 고성군 간성읍 수성로 24,2013-11-04
901,강원특별자치도,고성군,횟집,생선회,고성부부횟집,강원특별자치도 고성군 죽왕면 가진해변길 88,2020-10-20
902,강원특별자치도,고성군,한식,"명태정식, 명태지리, 명태구이",고성명태 한수위,강원특별자치도 고성군 죽왕면 동해대로 5841,2019-11-08
