"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","배관길이","공급규정내용","가스종류명",
"1","일반도시가스업체","09_28_10_P","6530000","198464200006000001","1984-06-22","","01","영업/정상","1","인허가","","","","","0332588800","","200-957","강원특별자치도 춘천시 후평1동   311번지 8호","강원특별자치도 춘천시 삭주로 163 (후평동)","","강원도시가스(주)","2010-01-07 18:35:48","I","2023-06-13 00:00:00","","265773.323962488","487360.489206825","217","","LNG(Liquefied Natural Gas)",
"2","일반도시가스업체","09_28_10_P","6530000","198564200006000001","1985-07-08","","01","영업/정상","1","인허가","","","","","0337472700","","220-924","강원특별자치도 원주시 호저면 만종리 335번지","강원특별자치도 원주시 호저면 원문로 376-27","220-924","참빛원주도시가스(주)","2025-05-29 09:40:53","U","2025-05-31 02:40:00","","281244.964648472","429435.671312005","216","연료계약 체결 등","LNG",
"3","일반도시가스업체","09_28_10_P","6530000","199464200006000001","1994-01-20","","01","영업/정상","1","인허가","","","","","0336457551","","210-330","강원특별자치도 강릉시 죽헌동   313번지 1호","강원특별자치도 강릉시 동해대로 3291 (죽헌동)","","참빛영동도시가스(주)","2024-12-05 16:34:46","U","2024-12-07 02:40:00","","364984.660477875","477364.437478731","54","연료계약 체결 등","강릉, 동해,삼척 : LNG",
"4","일반도시가스업체","09_28_10_P","6530000","200964200006000001","2009-03-16","","01","영업/정상","1","인허가","","","","","0332598822","","200-957","강원특별자치도 춘천시 후평동 311번지 8호","강원특별자치도 춘천시 삭주로 163 (후평동)","200-957","강원도시가스(주)","2013-12-19 14:11:11","I","2023-06-13 00:00:00","","265773.323962488","487360.489206825","0","","액화천연가스",
"5","일반도시가스업체","09_28_10_P","6530000","201064200006000001","2010-10-04","","01","영업/정상","1","인허가","","","","","0332588872","","200-957","강원특별자치도 춘천시 후평1동  311번지 8호","강원특별자치도 춘천시 삭주로 163 (후평동)","200-957","강원도시가스(주)","2025-01-22 20:07:21","U","2025-01-24 02:40:00","","265773.323962488","487360.489206825","0","연료계약 체결 등","LNG",
"6","일반도시가스업체","09_28_10_P","6530000","201564200006000001","2015-02-02","","01","영업/정상","1","인허가","","","","","0337374211","","220-130","강원특별자치도 원주시 우산동   511번지 4호","","","원주시 상하수도사업본부","2015-05-08 17:08:28","I","2023-06-13 00:00:00","","282748.43365092","431642.242027883","0","","바이오가스",
"7","일반도시가스업체","09_28_10_P","6530000","199464200006000002","1994-01-20","","01","영업/정상","2","사업개시","","","","","0336352191","","217-070","강원특별자치도 속초시 노학동  720번지 3호","강원특별자치도 속초시 미시령로 3198 (노학동)","217-070","참빛도시가스(주)","2025-05-28 11:16:02","U","2025-05-30 02:40:00","","336320.597491248","523576.547054732","38","연료계약 체결 등","LNG",
"8","일반도시가스업체","09_28_10_P","6530000","201264200006000001","2012-10-15","","01","영업/정상","2","사업개시","","","","","0333326431","","232-952","강원특별자치도 평창군 대관령면 394번지 37호 알펜힐빌리지비블럭 101호","강원특별자치도 평창군 대관령면 큰터길 34, 101호 (알펜힐빌리지비블럭)","232-952","명성파워그린(주)","2020-07-14 09:34:13","I","2023-06-13 00:00:00","","346686.443590893","463334.114252065","10386","연료계약 체결 등","LNG",
"9","일반도시가스업체","09_28_10_P","6530000","201464200006000001","2014-01-31","","01","영업/정상","2","사업개시","","","","","0337334251","","26333","강원특별자치도 원주시 가현동 562번지","강원특별자치도 원주시 저금어지길 458 (가현동)","26333","강원바이오에너지(주)","2025-05-09 10:59:18","U","2025-05-11 02:40:00","","","","0","","바이오가스",
