"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","옹기류제조업","07_22_14_P","4191000","4191000-119-2005-00001","2005-10-13","","03","폐업","02","폐업","2005-11-08","","","","","62.72","","강원특별자치도 원주시 문막읍 건등리 1711-6 ,외1필지 2층","","","전통옹기","2005-10-13 00:00:00","I","2023-06-13 00:00:00","옹기류제조업","272646.281420518","423573.865614946","옹기류제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","옹기류제조업","07_22_14_P","4231000","4231000-119-2001-00001","2001-12-07","","03","폐업","02","폐업","2005-12-29","","","","","","","강원특별자치도 속초시 영랑동 148-53","","","성창포장산업","2005-12-29 00:00:00","I","2023-06-13 00:00:00","옹기류제조업","339533.56129261","524944.287152141","옹기류제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","옹기류제조업","07_22_14_P","4261000","4261000-119-2007-00001","2007-05-29","","03","폐업","02","폐업","2010-12-06","","","","033 3453315","67.12","","강원특별자치도 횡성군 횡성읍 읍상리 582-5","","","태양상사","2010-02-19 15:01:36","I","2023-06-13 00:00:00","옹기류제조업","287675.905479737","443723.390172024","옹기류제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
