"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기수입업","09_28_02_P","4181000","2019418034906500001","2019-11-14","","01","영업/정상","01","영업중","","","","","0332510564","","","강원특별자치도 춘천시 신북읍 지내리 628번지 2호","강원특별자치도 춘천시 신북읍 구리고개길 165","24202","보광리사이클링","2020-10-06 13:59:48","I","2023-06-13 00:00:00","","264634.419743727","493154.735277712","","0332510564",
"2","계량기수입업","09_28_02_P","4191000","2023419032206500001","2023-01-17","","01","영업/정상","01","영업중","","","","","003307439979","","","","강원특별자치도 원주시 우산공단길 97(우산동)","26335","부겸산업","2023-01-18 16:57:14","I","2023-06-13 00:00:00","","282682.011055935","431119.498334627","","003307439979",
"3","계량기수입업","09_28_02_P","4191000","2015419024106500003","2015-06-05","","01","영업/정상","01","영업중","","","","","0337377563","","","강원특별자치도 원주시 지정면 월송리 187번지 1호","강원특별자치도 원주시 지정면 신평석화로 326","26358","(주) 대한과학","2023-06-14 14:11:57","U","2023-06-16 02:40:00","","277111.12313612","433812.358603889","","0337377563",
"4","계량기수입업","09_28_02_P","4191000","2016419024106500003","2016-03-02","","03","폐업","03","폐업","2019-10-10","","","","033 734 5161","","","","강원특별자치도 원주시 소초면 북원로 3110","26308","(주)한불에너지","2019-10-15 17:17:37","I","2023-06-13 00:00:00","","","","","033 734 5161",
"5","계량기수입업","09_28_02_P","4211000","2000421010606500001","2000-08-30","","03","폐업","03","폐업","2009-04-20","","","","033 521 5265","","240-140","강원특별자치도 동해시 용정동 31번지 4호","","","동국계량증명업소","2022-08-23 17:59:47","I","2023-06-13 00:00:00","","387947.182256222","446913.829967016","","033 521 5265",
"6","계량기수입업","09_28_02_P","4281000","2003428003906500001","2003-07-08","","01","영업/정상","01","영업중","","","","","003303351001","","","강원특별자치도 평창군 진부면 하진부리 687번지 1호 2통 1반","강원특별자치도 평창군 진부면 경강로 3406","232-940","천일계량증명업소","2025-04-28 17:00:19","I","2025-04-30 00:20:21","","336096.988104131","460864.945116386","","003303351001",
