"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"1","민방위급수시설","11_46_01_P","4181000","4181000-E199600001","1996-08-07","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 춘천시 근화동 282번지 5호","강원특별자치도 춘천시 방송길36번길 73-10 (근화동)","24360","테마모텔","2025-04-02 16:18:38","U","2025-04-04 02:40:00","","262955.386369187","485881.730147807","강원특별자치도 춘천시 근화동 282번지 5호","공공용시설","테마모텔","",
"2","민방위급수시설","11_46_01_P","4181000","4181000-E200800001","2008-04-16","","01","영업/정상","18","사용중","","","","","","210","","강원특별자치도 춘천시 교동 153번지","강원특별자치도 춘천시 삭주로 77 (교동, 춘천성심병원)","24253","한림대학교춘천성심병원","2025-04-02 16:23:03","U","2025-04-04 02:40:00","","264995.790705309","487048.050495199","강원특별자치도 춘천시 교동 153번지","공공용시설","한림대학교춘천성심병원","",
"3","민방위급수시설","11_46_01_P","4181000","4181000-E201700001","2017-03-09","","01","영업/정상","18","사용중","","","","","","500","","강원특별자치도 춘천시 삼천동 300번지 3호","강원특별자치도 춘천시 스포츠타운길 376 (삼천동, 춘천베어스타운관광호텔)","24239","춘천베어스관광호텔","2025-08-12 10:09:10","U","2025-08-17 02:40:00","","261426.409291116","485603.420620416","강원특별자치도 춘천시 삼천동 300번지 3호","공공용시설","춘천베어스관광호텔","",
"4","민방위급수시설","11_46_01_P","4181000","4181000-E199600005","2004-06-17","","01","영업/정상","18","사용중","","","","","","220","","강원특별자치도 춘천시 퇴계동 1155번지","강원특별자치도 춘천시 우묵들길 24 (퇴계동)","24367","대한스포렉스","2025-04-02 16:20:35","U","2025-04-04 02:40:00","","263708.146153108","485107.143480244","강원특별자치도 춘천시 퇴계동 1155번지","공공용시설","대한스포렉스","",
"5","민방위급수시설","11_46_01_P","4181000","4181000-E199100003","1991-06-23","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 춘천시 석사동 37번지","강원특별자치도 춘천시 세실로 100-12 (석사동)","24315","영사우나","2025-04-02 16:16:22","U","2025-04-04 02:40:00","","266752.417280968","485104.103457286","강원특별자치도 춘천시 석사동 37번지","공공용시설","영사우나","",
"6","민방위급수시설","11_46_01_P","4181000","4181000-E201300002","2013-05-16","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 춘천시 동면 36번지","강원특별자치도 춘천시 동면 장학길 24 (강원고등학교)","24210","강원고등학교(식당 인근)","2025-04-02 15:47:52","U","2025-04-04 02:40:00","","266490.215589284","488429.28879245","강원특별자치도 춘천시 동면 36번지","공공용시설","강원고등학교(식당 인근)","",
"7","민방위급수시설","11_46_01_P","4181000","4181000-E200400004","2004-01-01","","01","영업/정상","18","사용중","","","","","","187","","강원특별자치도 춘천시 신북읍 473번지 2호","강원특별자치도 춘천시 신북읍 장본길 74 (오동초등학교)","24203","오동초등학교","2025-09-30 10:20:10","U","2025-10-02 02:40:00","","266563.974012095","494598.409614765","강원특별자치도 춘천시 신북읍 473번지 2호","공공용시설","오동초등학교","",
"8","민방위급수시설","11_46_01_P","4181000","4181000-E202300001","2023-04-03","","01","영업/정상","18","사용중","","","","","","3024","","강원특별자치도 춘천시 죽림동 11-9","강원특별자치도 춘천시 약사고개길 15-1 (죽림동)","24355","천호장","2025-08-12 10:13:40","U","2025-08-17 02:40:00","","263814.724440574","486305.179917905","강원특별자치도 춘천시 죽림동 11-9","공공용시설","천호장","",
"9","민방위급수시설","11_46_01_P","4181000","4181000-E202300003","2023-04-03","","01","영업/정상","18","사용중","","","","","","1800","","강원특별자치도 춘천시 효자동 312-1","강원특별자치도 춘천시 공지로 270 (효자동)","24342","베드로병원","2025-07-30 11:31:47","U","2025-08-01 02:40:00","","264636.115691457","485077.929690747","강원특별자치도 춘천시 효자동 312-1","공공용시설","베드로병원","",
"10","민방위급수시설","11_46_01_P","4181000","4181000-E202300002","2023-04-03","","01","영업/정상","18","사용중","","","","","","3024","","강원특별자치도 춘천시 우두동 765-5 한국농어촌공사강원지역본부","강원특별자치도 춘천시 사우4길 18, 한국농어촌공사강원지역본부 (우두동)","24226","한국농어촌공사 강원지역본부","2025-09-30 10:28:51","U","2025-10-02 02:40:00","","263936.72598466","489388.798657856","강원특별자치도 춘천시 우두동 765-5 한국농어촌공사강원지역본부","공공용시설","한국농어촌공사 강원지역본부","",
"11","민방위급수시설","11_46_01_P","4181000","4181000-E200800007","2008-03-13","","01","영업/정상","18","사용중","","","","","","800","","강원특별자치도 춘천시 남산면 백양리 29번지 1호","강원특별자치도 춘천시 남산면 북한강변길 688-0","","엘리시안강촌","2025-04-02 16:28:15","U","2025-04-04 02:40:00","","251021.728216938","480612.913126754","강원특별자치도 춘천시 남산면 백양리 29번지 1호","공공용시설","엘리시안강촌","",
"12","민방위급수시설","11_46_01_P","4181000","4181000-E200800003","2008-11-12","","01","영업/정상","18","사용중","","","","","","130","","강원특별자치도 춘천시 후평동 529번지 12호","강원특별자치도 춘천시 한림대학길 1 (후평동)","24252","한림대학교(학생생활관)","2025-07-30 11:24:34","U","2025-08-01 02:40:00","","265085.354422916","487237.55300467","강원특별자치도 춘천시 후평동 529번지 12호","공공용시설","한림대학교(학생생활관)","",
"13","민방위급수시설","11_46_01_P","4181000","4181000-E201300001","2013-05-16","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 춘천시 동면 36번지","강원특별자치도 춘천시 동면 장학길 24 (강원고등학교)","24210","강원고등학교(행정실)","2025-09-30 10:22:36","U","2025-10-02 02:40:00","","266490.215589284","488429.28879245","강원특별자치도 춘천시 동면 36번지","공공용시설","강원고등학교(행정실)","",
"14","민방위급수시설","11_46_01_P","4181000","4181000-E200800002","2008-04-17","","01","영업/정상","18","사용중","","","","","","260","","강원특별자치도 춘천시 후평동 671번지","강원특별자치도 춘천시 한림대학길 1 (후평동)","24252","한림대학교(운동장)","2025-09-30 10:21:10","U","2025-10-02 02:40:00","","264951.924600417","487442.362080676","강원특별자치도 춘천시 후평동 671번지","공공용시설","한림대학교(운동장)","",
"15","민방위급수시설","11_46_01_P","4181000","4181000-E199600004","1996-01-01","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 춘천시 석사동 171번지 8호","강원특별자치도 춘천시 스무숲길 4-51 (석사동)","24417","시립양로원","2025-04-02 16:13:55","U","2025-04-04 02:40:00","","265713.451557895","482820.421569114","강원특별자치도 춘천시 석사동 171번지 8호","공공용시설","시립양로원","",
"16","민방위급수시설","11_46_01_P","4181000","4181000-E199400001","1997-07-14","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 춘천시 요선동 4번지 9호","강원특별자치도 춘천시 중앙로 16 (요선동)","24270","무림빌딩","2025-04-02 16:17:35","U","2025-04-04 02:40:00","","264031.06629739","487005.67164652","강원특별자치도 춘천시 요선동 4번지 9호","공공용시설","무림빌딩","",
"17","민방위급수시설","11_46_01_P","4181000","4181000-E201400001","2014-02-12","","01","영업/정상","18","사용중","","","","","","1500","","강원특별자치도 춘천시 남산면 서천리 697번지","","","한화호텔앤드리조트(W-2)","2025-08-12 10:05:09","U","2025-08-17 02:40:00","","248680.205068979","482128.943260307","강원특별자치도 춘천시 남산면 서천리 697번지","공공용시설","한화호텔앤드리조트(W-2)","",
"18","민방위급수시설","11_46_01_P","4191000","4191000-E201200001","2012-07-13","","01","영업/정상","18","사용중","","","","","","2300","","강원특별자치도 원주시 흥업면 66번지","강원특별자치도 원주시 흥업면 한라대길 28 (한라대학교)","26404","한라대학교","2025-05-15 09:59:38","U","2025-05-17 02:40:00","","280062.707435473","422524.037659411","강원특별자치도 원주시 흥업면 66번지","공공용시설","한라대학교","",
"19","민방위급수시설","11_46_01_P","4191000","4191000-E200300024","2003-05-27","","01","영업/정상","18","사용중","","","","","","500","","강원특별자치도 원주시 명륜동 547 원주 삼성아파트","강원특별자치도 원주시 예술관길 15 (명륜동, 원주 삼성아파트)","26481","삼성아파트","2025-08-20 17:30:04","U","2025-08-23 02:40:00","","283515.811263785","426087.314281882","강원특별자치도 원주시 명륜동 547 원주 삼성아파트","공공용시설","삼성아파트","",
"20","민방위급수시설","11_46_01_P","4191000","4191000-E200300010","2003-05-12","","01","영업/정상","18","사용중","","","","","","173","","강원특별자치도 원주시 관설동 1279 원주시니어클럽","강원특별자치도 원주시 치악로 1367, 원주시니어클럽 (관설동)","26470","관설시니어클럽","2025-07-29 16:21:14","U","2025-07-31 02:40:00","","286470.687092179","423497.381755949","강원특별자치도 원주시 관설동 1279 원주시니어클럽","정부지원시설","관설시니어클럽","",
"21","민방위급수시설","11_46_01_P","4191000","4191000-E200300011","2003-05-12","","01","영업/정상","18","사용중","","","","","","300","","강원특별자치도 원주시 단구동 1462-4 단구어린이공원","강원특별자치도 원주시 송림길 58-14, 단구어린이공원 (단구동)","26449","체육공원","2025-07-29 16:27:28","U","2025-07-31 02:40:00","","284341.545603129","425790.683008348","강원특별자치도 원주시 단구동 1462-4 단구어린이공원","정부지원시설","체육공원","",
"22","민방위급수시설","11_46_01_P","4191000","4191000-E200300012","2003-05-12","","01","영업/정상","18","사용중","","","","","","300","","강원특별자치도 원주시 단계동 817 평원어린이공원","강원특별자치도 원주시 금불1길 72, 평원어린이공원 (단계동)","26423","평원어린이공원","2025-07-29 16:22:00","U","2025-07-31 02:40:00","","282302.970544078","427937.974013515","강원특별자치도 원주시 단계동 817 평원어린이공원","정부지원시설","평원어린이공원","",
"23","민방위급수시설","11_46_01_P","4191000","4191000-E200300017","2003-05-12","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 원주시 개운동 415 원고앞공원","강원특별자치도 원주시 치악로 1765, 원고앞공원 (개운동)","26442","원고앞공원","2025-07-29 16:24:22","U","2025-07-31 02:40:00","","284642.516106547","426714.125449906","강원특별자치도 원주시 개운동 415 원고앞공원","정부지원시설","원고앞공원","",
"24","민방위급수시설","11_46_01_P","4191000","4191000-E202200002","2022-05-02","","01","영업/정상","18","사용중","","","","","","630","","강원특별자치도 원주시 흥업면 매지리 1875 연세대학교","강원특별자치도 원주시 흥업면 연세대길 1, 연세대학교","26493","연세대학교 미래캠퍼스","2025-07-29 16:23:43","U","2025-07-31 02:40:00","","279802.842138498","420075.310262165","강원특별자치도 원주시 흥업면 매지리 1875 연세대학교","공공용시설","연세대학교 미래캠퍼스","",
"25","민방위급수시설","11_46_01_P","4191000","4191000-E200300015","2003-05-12","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 원주시 단구동 1474-3 희망어린이공원","강원특별자치도 원주시 치악로1534번길 12-1, 희망어린이공원 (단구동)","26452","희망어린이공원","2025-07-29 16:02:27","U","2025-07-31 02:40:00","","285569.167507745","424799.047771151","강원특별자치도 원주시 단구동 1474-3 희망어린이공원","정부지원시설","희망어린이공원","",
"26","민방위급수시설","11_46_01_P","4191000","4191000-E200300016","2003-05-12","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 원주시 봉산동 1196-1 봉산어린이공원","강원특별자치도 원주시 삼광1길 10, 봉산어린이공원 (봉산동)","26331","삼광택지","2025-05-14 13:13:07","U","2025-05-16 02:40:00","","285551.852297584","427172.56760532","강원특별자치도 원주시 봉산동 1196-1 봉산어린이공원","정부지원시설","삼광택지","",
"27","민방위급수시설","11_46_01_P","4191000","4191000-E200300021","2003-05-13","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 원주시 관설동 1792-2 관설어린이공원","강원특별자치도 원주시 치악고교길 16, 관설어린이공원 (관설동)","26469","관설소공원","2025-07-29 16:20:22","U","2025-07-31 02:40:00","","284978.355458374","424112.699999913","강원특별자치도 원주시 관설동 1792-2 관설어린이공원","정부지원시설","관설소공원","",
"28","민방위급수시설","11_46_01_P","4191000","4191000-E202200001","2022-05-02","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 원주시 행구동 125-2 미래고등학교","강원특별자치도 원주시 고문골길 54, 미래고등학교 (행구동)","26455","미래고등학교","2025-05-14 10:56:34","U","2025-05-16 02:40:00","","289154.571040325","426840.290329633","강원특별자치도 원주시 행구동 125-2 미래고등학교","공공용시설","미래고등학교","",
"29","민방위급수시설","11_46_01_P","4191000","4191000-E200300031","2003-05-27","","01","영업/정상","18","사용중","","","","","","500","","강원특별자치도 원주시 태장동 1040-8 대흥아파트","강원특별자치도 원주시 흥양로 30(태장동, 대흥아파트)","26318","대흥2차아파트","2025-05-14 13:22:27","U","2025-05-16 02:40:00","","284151.577765208","431267.766245716","강원특별자치도 원주시 태장동 1040-8 대흥아파트","공공용시설","대흥2차아파트","",
"30","민방위급수시설","11_46_01_P","4191000","4191000-E199500003","1995-04-21","","01","영업/정상","18","사용중","","","","","","187","","강원특별자치도 원주시 개운동 50-1 상지여자중고등학교","강원특별자치도 원주시 개운4길 25, 상지여자중고등학교 (개운동)","26444","상지여자중고등학교","2025-05-14 13:16:57","U","2025-05-16 02:40:00","","285050.121327526","426880.59660825","강원특별자치도 원주시 개운동 50-1 상지여자중고등학교","공공용시설","상지여자중고등학교","",
"31","민방위급수시설","11_46_01_P","4191000","4191000-E200300018","2003-05-13","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 원주시 태장동 2705 태장주공1단지아파트","강원특별자치도 원주시 흥양로51번길 22(태장동, 태장주공1단지아파트)","26313","태장주공1차아파트","2025-07-29 16:28:25","U","2025-07-31 02:40:00","","284476.129037411","431943.559610281","강원특별자치도 원주시 태장동 2705 태장주공1단지아파트","정부지원시설","태장주공1차아파트","",
"32","민방위급수시설","11_46_01_P","4191000","4191000-E200300020","2003-05-13","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 원주시 관설동 1751-3 단관공원","강원특별자치도 원주시 단관공원길 63, 단관공원 (관설동)","26472","단관공원","2025-05-14 13:24:02","U","2025-05-16 02:40:00","","284992.875114602","424493.761077752","강원특별자치도 원주시 관설동 1751-3 단관공원","정부지원시설","단관공원","",
"33","민방위급수시설","11_46_01_P","4191000","4191000-E200300025","2003-05-27","","01","영업/정상","18","사용중","","","","","","1120","","강원특별자치도 원주시 명륜동 764번지","강원특별자치도 원주시 서원대로 308-0 (명륜동, 현대아파트)","26479","현대2차아파트","2025-08-20 17:31:00","U","2025-08-23 02:40:00","","283293.224844307","426322.024267602","강원특별자치도 원주시 명륜동 764번지","공공용시설","현대2차아파트","",
"34","민방위급수시설","11_46_01_P","4191000","4191000-E200300027","2003-05-27","","01","영업/정상","18","사용중","","","","","","150","","강원특별자치도 원주시 단구동 1517번지 1호","강원특별자치도 원주시 남원로 524 (단구동, 대림아파트)","26484","구곡대림아파트","2025-05-14 13:19:59","U","2025-05-16 02:40:00","","283893.178971177","425741.191939543","강원특별자치도 원주시 단구동 1517번지 1호","공공용시설","구곡대림아파트","",
"35","민방위급수시설","11_46_01_P","4191000","4191000-E200600001","2006-09-15","","01","영업/정상","18","사용중","","","","","","105","","강원특별자치도 원주시 단계동 592번지","강원특별자치도 원주시 서원대로 33 (단계동)","","농산물도매시장","2025-05-14 13:21:04","U","2025-05-16 02:40:00","","281770.670819768","428480.555243693","강원특별자치도 원주시 단계동 592번지","공공용시설","농산물도매시장","",
"36","민방위급수시설","11_46_01_P","4191000","4191000-E200300013","2003-05-12","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 원주시 단계동 909번지","강원특별자치도 원주시 서원대로 234 (단계동, 원주시청소년수련관)","26475","청소년수련관","2025-05-14 13:12:02","U","2025-05-16 02:40:00","","282845.766799583","426943.196173173","강원특별자치도 원주시 단계동 909번지","정부지원시설","청소년수련관","",
"37","민방위급수시설","11_46_01_P","4191000","4191000-E200300014","2003-05-12","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 원주시 문막읍 건등리 1718 문막읍 행정복지센터","강원특별자치도 원주시 문막읍 건등로 11, 문막읍 행정복지센터","26370","문막읍 행정복지센터","2025-08-11 10:55:59","U","2025-08-15 02:40:00","","272383.76906574","423701.768229796","강원특별자치도 원주시 문막읍 건등리 1718 문막읍 행정복지센터","정부지원시설","문막읍 행정복지센터","",
"38","민방위급수시설","11_46_01_P","4191000","4191000-E200300023","2003-05-27","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 원주시 우산동 307번지 1호","강원특별자치도 원주시 진광길 50 (우산동, 진광중고등학교)","26338","진광중고등학교","2025-07-29 14:36:08","U","2025-07-31 02:40:00","","282891.25127511","430470.059433277","강원특별자치도 원주시 우산동 307번지 1호","공공용시설","진광중고등학교","",
"39","민방위급수시설","11_46_01_P","4201000","4201000-E199700002","1997-07-30","","01","영업/정상","18","사용중","","","","","","254","","강원특별자치도 강릉시 죽헌동 254번지 2호","강원특별자치도 강릉시 율곡로3173번길 11-1 (죽헌동)","210-330","비상급수시설(죽헌마을회관 옆)","2024-02-06 17:33:53","U","2024-02-08 02:40:00","","365421.345917402","477173.268939012","강원특별자치도 강릉시 죽헌동 254번지 2호","정부지원시설","비상급수시설(죽헌마을회관 옆)","",
"40","민방위급수시설","11_46_01_P","4201000","4201000-E201000001","2010-05-14","","01","영업/정상","18","사용중","","","","","","180","","강원특별자치도 강릉시 교동 1891번지 1호","강원특별자치도 강릉시 솔올로5번길 37 (교동)","210-924","비상급수시설(분수공원내)","2025-01-13 17:58:27","U","2025-01-15 02:40:00","","365177.455227292","475199.800266832","강원특별자치도 강릉시 교동 1891번지 1호","정부지원시설","비상급수시설(분수공원내)","",
"41","민방위급수시설","11_46_01_P","4201000","4201000-E198700001","1987-12-30","","01","영업/정상","18","사용중","","","","","","320","","강원특별자치도 강릉시 포남동 1130번지 15호","강원특별자치도 강릉시 남구길5번길 30 (포남동)","210-955","비상급수시설 (유일연립 옆 공원)","2024-02-06 17:32:20","U","2024-02-08 02:40:00","","367747.139700185","475003.772017544","강원특별자치도 강릉시 포남동 1130번지 15호","정부지원시설","비상급수시설 (유일연립 옆 공원)","",
"42","민방위급수시설","11_46_01_P","4201000","4201000-E199000002","1990-12-20","","01","영업/정상","18","사용중","","","","","","357","","강원특별자치도 강릉시 포남동 1159번지","강원특별자치도 강릉시 남구길24번길 25 (포남동)","210-955","비상급수시설 (자비원 옆 공원)","2024-02-06 17:33:27","U","2024-02-08 02:40:00","","367984.576777831","475545.567771697","강원특별자치도 강릉시 포남동 1159번지","정부지원시설","비상급수시설 (자비원 옆 공원)","",
"43","민방위급수시설","11_46_01_P","4201000","4201000-E199700004","1979-03-05","","01","영업/정상","18","사용중","","","","","","250","","강원특별자치도 강릉시 금학동 50번지","강원특별자치도 강릉시 금성로 21 (금학동, 금학상가아파트)","25540","비상급수시설(중앙시장내)","2024-02-06 17:34:29","U","2024-02-08 02:40:00","","367255.878725242","474087.754397503","강원특별자치도 강릉시 금학동 50번지","민간시설","비상급수시설(중앙시장내)","",
"44","민방위급수시설","11_46_01_P","4201000","4201000-E199800002","1998-03-15","","01","영업/정상","18","사용중","","","","","","212","","강원특별자치도 강릉시 노암동 74번지 13호","강원특별자치도 강릉시 모산로 212-9 (노암동)","25610","비상급수시설 (장현 마을회관 옆)","2024-02-06 17:35:21","U","2024-02-08 02:40:00","","367617.306178567","471363.871934728","강원특별자치도 강릉시 노암동 74번지 13호","정부지원시설","비상급수시설 (장현 마을회관 옆)","",
"45","민방위급수시설","11_46_01_P","4201000","4201000-E201900001","2019-11-18","","01","영업/정상","18","사용중","","","","","","143","","강원특별자치도 강릉시 입암동 311번지 2호","강원특별자치도 강릉시 입암로92번길 30-11 (입암동)","25617","비상급수시설(성덕공원 옆)","2024-02-06 17:37:23","U","2024-02-08 02:40:00","","368820.349512406","473937.478173709","강원특별자치도 강릉시 입암동 311번지 2호","지자체시설","비상급수시설(성덕공원 옆)","",
"46","민방위급수시설","11_46_01_P","4201000","4201000-E199800003","1998-03-16","","01","영업/정상","18","사용중","","","","","","106","","강원특별자치도 강릉시 교동 2번지 21호","강원특별자치도 강릉시 종합운동장길 72-21 (교동, 강릉시청소년수련장)","25474","비상급수시설(청소년수련관 옆)","2024-02-06 17:35:50","U","2024-02-08 02:40:00","","366811.192392337","476194.310530964","강원특별자치도 강릉시 교동 2번지 21호","정부지원시설","비상급수시설(청소년수련관 옆)","",
"47","민방위급수시설","11_46_01_P","4201000","4201000-E199000001","1990-12-20","","01","영업/정상","18","사용중","","","","","","141","","강원특별자치도 강릉시 내곡동 75번지 4호","강원특별자치도 강릉시 남산초교길 22-1 (내곡동)","210-925","비상급수시설(관동1차 아파트내)","2024-02-06 17:32:59","U","2024-02-08 02:40:00","","366529.357434383","473096.102032244","강원특별자치도 강릉시 내곡동 75번지 4호","정부지원시설","비상급수시설(관동1차 아파트내)","",
"48","민방위급수시설","11_46_01_P","4201000","4201000-E199700005","1997-03-05","","01","영업/정상","18","사용중","","","","","","2680","","강원특별자치도 강릉시 내곡동 81번지","강원특별자치도 강릉시 강변로 16 (내곡동)","210-927","비상급수시설(롯데주류(주))","2024-02-06 17:35:01","U","2024-02-08 02:40:00","","366374.080110925","472969.247035404","강원특별자치도 강릉시 내곡동 81번지","민간시설","비상급수시설(롯데주류(주))","",
"49","민방위급수시설","11_46_01_P","4211000","4211000-E199600001","1996-12-31","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 발한동 514번지 1호","강원특별자치도 동해시 동호3길 35 (발한동)","","동호동 비상급수시설","2023-07-11 14:30:16","U","2023-07-13 02:40:00","","385542.841773949","451354.084682341","강원특별자치도 동해시 발한동 514번지 1호","지자체시설","동호동 비상급수시설","",
"50","민방위급수시설","11_46_01_P","4211000","4211000-E199400001","1994-11-20","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 천곡동 842번지","강원특별자치도 동해시 천곡로 98-1 (천곡동)","","천곡동 비상급수시설","2023-08-07 13:12:36","U","2023-08-09 02:40:00","","387007.106698205","448833.647079908","강원특별자치도 동해시 천곡동 842번지","지자체시설","천곡동 비상급수시설","",
"51","민방위급수시설","11_46_01_P","4211000","4211000-E198000001","1980-04-25","","01","영업/정상","18","사용중","","","","","","3000","","강원특별자치도 동해시 삼화동 200번지","강원특별자치도 동해시 효자로 246 (삼화동)","","쌍용C&E 동해공장 비상급수시설","2023-07-11 14:29:43","U","2023-07-13 02:40:00","","381789.813670765","444419.292367977","강원특별자치도 동해시 삼화동 200번지","민간시설","쌍용C&E 동해공장 비상급수시설","",
"52","민방위급수시설","11_46_01_P","4211000","4211000-E199800001","1998-01-22","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 묵호진동 85번지 7호","강원특별자치도 동해시 해맞이길 183 (묵호진동)","","창호초등학교 비상급수시설","2023-07-11 11:28:40","U","2023-07-13 02:40:00","","386221.526318686","452760.115501858","강원특별자치도 동해시 묵호진동 85번지 7호","지자체시설","창호초등학교 비상급수시설","",
"53","민방위급수시설","11_46_01_P","4211000","4211000-E199600003","1996-12-31","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 북평동 127번지 1호","강원특별자치도 동해시 대동로 137 (북평동)","","북평동 비상급수시설","2023-07-11 14:30:32","U","2023-07-13 02:40:00","","387906.100194404","444511.862173777","강원특별자치도 동해시 북평동 127번지 1호","지자체시설","북평동 비상급수시설","",
"54","민방위급수시설","11_46_01_P","4211000","4211000-E199700001","1997-11-25","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 용정동 475번지 3호","강원특별자치도 동해시 봉오주택길 22 (용정동)","","동해초등학교 비상급수시설","2025-07-02 17:35:42","U","2025-07-04 02:40:00","","387426.385595348","447598.972312149","강원특별자치도 동해시 용정동 475번지 3호","지자체시설","동해초등학교 비상급수시설","",
"55","민방위급수시설","11_46_01_P","4211000","4211000-E200200003","2002-01-04","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 동해시 천곡동 593번지","강원특별자치도 동해시 덕골길 10 (천곡동, 동해웰빙레포츠타운)","25750","동해체육관 비상급수시설","2023-07-11 11:30:06","U","2023-07-13 02:40:00","","385720.60266411","448203.830323753","강원특별자치도 동해시 천곡동 593번지","정부지원시설","동해체육관 비상급수시설","",
"56","민방위급수시설","11_46_01_P","4221000","4221000-E199600002","1996-06-01","","01","영업/정상","18","사용중","","","","","","540","","강원특별자치도 태백시 금천동 29","강원특별자치도 태백시 금천길 168(금천동)","26053","금천펌프실","2025-01-08 14:25:03","U","2025-01-10 02:40:00","","377247.837470574","401028.392364284","강원특별자치도 태백시 금천동 29","공공용시설","금천펌프실","",
"57","민방위급수시설","11_46_01_P","4221000","4221000-E199000001","1990-09-01","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 태백시 황지동 274번지 99호","강원특별자치도 태백시 황연2길 10 (황지동)","26026","보명목욕탕","2025-01-08 14:20:34","U","2025-01-10 02:40:00","","376387.178852363","410293.732607127","강원특별자치도 태백시 황지동 274번지 99호","공공용시설","보명목욕탕","",
"58","민방위급수시설","11_46_01_P","4221000","4221000-E200900001","2009-03-31","","01","영업/정상","18","사용중","","","","","","290","","강원특별자치도 태백시 소도동 133번지 2호","강원특별자치도 태백시 용담1길 48-17 (소도동, 청원사)","26043","청원사","2025-01-08 14:25:21","U","2025-01-10 02:40:00","","373939.155057916","404579.003209172","강원특별자치도 태백시 소도동 133번지 2호","공공용시설","청원사","",
"59","민방위급수시설","11_46_01_P","4221000","4221000-E199300001","1993-11-10","","01","영업/정상","18","사용중","","","","","","300","","강원특별자치도 태백시 황지동 25번지 6호","강원특별자치도 태백시 황지연못길 8 (황지동, 메르디앙호텔)","26008","황지연못음수대","2025-01-08 14:23:48","U","2025-01-10 02:40:00","","376749.482776117","409700.97366887","강원특별자치도 태백시 황지동 25번지 6호","정부지원시설","황지연못음수대","",
"60","민방위급수시설","11_46_01_P","4221000","4221000-E199600001","1996-06-13","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 태백시 황지동 470번지 24호","강원특별자치도 태백시 오투로 149 (황지동, 모란노인정)","26010","모란음수대","2025-01-08 14:24:31","U","2025-01-10 02:40:00","","375064.717888876","409600.3261831","강원특별자치도 태백시 황지동 470번지 24호","공공용시설","모란음수대","",
"61","민방위급수시설","11_46_01_P","4221000","4221000-E201500001","2015-03-02","","01","영업/정상","18","사용중","","","","","","100","","강원특별자치도 태백시 철암동 96번지 1호","강원특별자치도 태백시 머리골길 108-38 (철암동, 고원농업시험장)","26046","특화작물시험장 태백분소","2025-01-08 14:27:36","U","2025-01-10 02:40:00","","382896.323239787","404076.161104371","강원특별자치도 태백시 철암동 96번지 1호","공공용시설","특화작물시험장 태백분소","",
"62","민방위급수시설","11_46_01_P","4231000","4231000-E198200002","1982-05-25","","01","영업/정상","18","사용중","","","","","","1950","","강원특별자치도 속초시 장사동 24번지 1호","강원특별자치도 속초시 미시령로2983번길 111 (장사동)","24801","한화리조트 설악 민방위급수시설","2025-09-30 12:22:40","U","2025-10-02 02:40:00","","333788.794285736","524104.959379777","강원특별자치도 속초시 장사동 24번지 1호","공공용시설","한화리조트 설악 민방위급수시설","",
"63","민방위급수시설","11_46_01_P","4231000","4231000-E199500003","1995-05-21","","01","영업/정상","18","사용중","","","","","","200","","강원특별자치도 속초시 노학동 635번지 1호","강원특별자치도 속초시 도리원길 5-0 (노학동)","","경동대학교 설악제2캠퍼스 민방위비상급수시설","2025-07-30 10:07:27","U","2025-08-01 02:40:00","","335922.312166946","522296.889674921","강원특별자치도 속초시 노학동 635번지 1호","공공용시설","경동대학교 설악제2캠퍼스 민방위비상급수시설","",
