"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","민원종류명","자본금의 규모","예치기관명","공제계약명","공제계약기타명","보험","채무지급보증","사업자등록번호",
"1","상조업","11_47_01_P","6530000","20216420000051000001","2021-03-12","","01","영업/정상","1","영업중","","","","","","","","","강원특별자치도 홍천군 서면 한치골길 262","","주식회사 소노스테이션","2025-10-13 00:00:00","U","2025-10-15 02:40:00","","260030.280736472","460691.714032464","","10000000000","우리은행","기타","상조보증공제조합","","","2208809321",
"2","상조업","11_47_01_P","6530000","20116420000051000003","2011-03-25","","03","폐업","3","폐업","2019-01-15","","","","0337634444","","220-843","강원특별자치도 원주시 흥업면 사제리 107번지","강원특별자치도 원주시 흥업면 사제로 539","","(주)하늘원","2018-12-24 00:00:00","I","2023-06-13 00:00:00","","279051.337828244","426311.629375401","","400000000","신한은행","","","","","2248116432",
"3","상조업","11_47_01_P","6530000","20116420000051000002","2011-03-17","","03","폐업","3","폐업","2017-12-28","","","","03315778499","","","강원특별자치도 춘천시 동산면 군자리 703번지 1호","강원특별자치도 춘천시 동산면 종자리로 331-22","","(주)예인라이프","2017-12-12 00:00:00","I","2023-06-13 00:00:00","","265416.966191509","473133.801761027","","300000000","신한은행","","","","","2238110129",
"4","상조업","11_47_01_P","6530000","20116420000051000005","2011-03-30","","03","폐업","3","폐업","","","","","0336444440","","210-380","강원특별자치도 강릉시 안현동  795번지","강원특별자치도 강릉시 안현로 84-30 (안현동)","","(주)강릉장례식장","2016-04-08 00:00:00","I","2023-06-13 00:00:00","","364275.502329105","479224.502054831","","500000000","신한은행","","","","","2268127838",
"5","상조업","11_47_01_P","6530000","20186420000051000001","2018-06-22","","03","폐업","3","폐업","","","","","","","","","강원특별자치도 원주시 단구초교길 19, 상가동 103호 (단구동, 대흥아파트)","","무지개라이프","2025-10-16 00:00:00","U","2025-10-18 02:40:00","","285423.892658947","424988.781750881","","1500000000","","기타","","","상조보증공제조합","1068661634",
"6","상조업","11_47_01_P","6530000","20116420000051000001","2011-03-02","","03","폐업","3","폐업","","","","","03315447563","","200-882","강원특별자치도 춘천시 동내면 학곡리 602번지","강원특별자치도 춘천시 동내면 영서로 1776","","(주)로얄라이프","2014-10-16 00:00:00","I","2023-06-13 00:00:00","","266898.855104487","481690.070009037","","300000000","","기타","한국상조공제조합","","","2218125010",
"7","상조업","11_47_01_P","6530000","20116420000051000004","2011-03-25","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","03315447304","","210-933","강원특별자치도 강릉시 옥천동  329번지 8호 3층","강원특별자치도 강릉시 옥가로50번길 3 (옥천동,3층)","","삼성상조이행보증(주)","2015-05-12 00:00:00","I","2023-06-13 00:00:00","","367410.806526688","474855.474847453","","300000000","하나은행","","","","","2268133418",
"8","상조업","11_47_01_P","6530000","20106420000051000001","2010-11-29","","04","취소/말소/만료/정지/중지","7","등록취소","","","","","0336431007","","210-101","강원특별자치도 강릉시 교동  711번지 13호","강원특별자치도 강릉시 율곡로 3034 (교동)","","(주)AS상조","2015-04-30 00:00:00","I","2023-06-13 00:00:00","","366470.365761522","476185.270818728","","350000000","","기타","한국상조공제조합","","","2268136619",
"9","상조업","11_47_01_P","6530000","20116420000051000006","2011-04-08","","04","취소/말소/만료/정지/중지","8","직권말소","","","","","03315885569","","200-160","강원특별자치도 춘천시 후평동  734번지","강원특별자치도 춘천시 삭주로194번길 3 (후평동)","","로얄라이프(주)","2019-04-08 00:00:00","I","2023-06-13 00:00:00","","266075.030711889","487354.024684136","","300000000","신한은행","","","","","2218127264",
