"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"146","환경전문공사업","09_30_16_P","6530000","642000009201100005","2014-08-13","","03","폐업","Q","폐업","2022-01-23","","","","","","210-801","강원특별자치도 강릉시 주문진읍 교항리  1207번지 38호 [1207-38번지 2층]","강원특별자치도 강릉시 주문진읍 농공단지길 33 ([1207-38번지 2층])","","폐업 임시 지정 - 주식회사 대양환경","2022-01-23 13:53:57","I","2023-06-13 00:00:00","","360835.96205572","487110.456208908","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"147","환경전문공사업","09_30_16_P","6530000","642000009201100006","2011-09-26","","03","폐업","Q","폐업","2012-11-01","","","","","","200-180","강원특별자치도 춘천시 석사동   186번지 5호 [186-5번지]","강원특별자치도 춘천시 스무숲길 4-5 (석사동,[186-5번지])","","(주)그린존","2022-01-17 14:38:15","I","2023-06-13 00:00:00","","265813.766107154","483246.951055837","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"148","환경전문공사업","09_30_16_P","6530000","642000009201100007","2013-11-11","","03","폐업","Q","폐업","2015-07-10","","","","","","217-050","강원특별자치도 속초시 청학동   634번지 11호 [634-11번지 2층]","강원특별자치도 속초시 번영로 56 (청학동,[634-11번지 2층])","217-050","(주)이지","2022-01-17 14:30:11","I","2023-06-13 00:00:00","","338687.661593729","523622.336826043","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"149","환경전문공사업","09_30_16_P","6530000","642000009200700025","2007-07-30","","03","폐업","Q","폐업","2022-01-23","","","","","","","강원특별자치도 영월군 영월읍 영흥리 1017번지 10호 1통 3반","","","폐업 임시 지정 - (주)효성","2022-01-23 13:50:47","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"150","환경전문공사업","09_30_16_P","6530000","642000009200700026","2007-04-06","","03","폐업","Q","폐업","","","","","","","","강원특별자치도 동해시 천곡동  380번지 2호 37통 2반 현대아파트 102동 1003호","","","(주)우진","2022-01-13 16:03:22","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"151","환경전문공사업","09_30_16_P","6530000","642000009200700027","2008-11-25","","03","폐업","Q","폐업","2013-07-29","","","","","","","강원특별자치도 철원군 갈말읍 지포리 105번지 3호 1통 7반","","","이씨에이코리아","2022-01-17 14:32:11","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"152","환경전문공사업","09_30_16_P","6530000","642000009200700028","2014-07-28","","03","폐업","Q","폐업","2022-01-18","","","","","","","강원특별자치도 원주시 문막읍 동화리 188번지","","","(주)경천환경","2022-01-18 09:22:25","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"153","환경전문공사업","09_30_16_P","6530000","642000009200700029","2009-01-16","","03","폐업","Q","폐업","2022-01-18","","","","","","220-842","강원특별자치도 원주시 흥업면 매지리  234번지 연세대학교원주환경친화기술센터 302호","강원특별자치도 원주시 흥업면 무수막1길 44, 302호 (연세대학교원주환경친화기술센터)","","(주)삼성환경엔지니어링","2022-01-18 09:30:11","I","2023-06-13 00:00:00","","281105.693982309","420333.536040056","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"154","환경전문공사업","09_30_16_P","6530000","642000009200700030","2008-04-07","","03","폐업","Q","폐업","2022-01-23","","","","","","","강원특별자치도 동해시 구미동  584번지 1호 6통 2반","","","폐업 임시 지정 - 지엘엔텍(주)","2022-01-23 13:54:26","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"155","환경전문공사업","09_30_16_P","6530000","642000009200700031","2009-07-24","","03","폐업","Q","폐업","2015-08-05","","","","","","","강원특별자치도 원주시 단구동  1612번지  47통 6반 현진에버빌Ⅰ 102동 1003호","","","(주)지텍","2019-10-08 16:40:59","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
