"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"103","박물관, 미술관","03_07_05_P","6530000","B04022013000002","2012-12-31","","03","폐업","3","폐업","2024-01-08","","","","","","","강원특별자치도 영월군 한반도면 옹정리 154번지 1호","강원특별자치도 영월군 한반도면 한반도로 452","","쾌연재도자미술관","2023-07-14 11:03:04","U","2024-10-11 02:40:00","","321361.911922719","413790.194814295","미술관","","20081108","사립","1종","미술관","20240108","개인사정","0","","","","","",
"104","박물관, 미술관","03_07_05_P","6530000","B04012015000003","2015-04-07","","03","폐업","3","폐업","2018-01-02","","","","","","","강원특별자치도 인제군 인제읍 0000번지","강원특별자치도 인제군 인제읍 회동길 563","","자작나무숲속박물관","2019-03-15 16:33:54","U","2024-10-11 02:40:00","","","","박물관","","20150315","사립","2종","민속관","20180102","운영부진으로 인한 폐업","0","","","","","",
"105","박물관, 미술관","03_07_05_P","6530000","B04012015000005","2015-04-07","","03","폐업","3","폐업","2019-05-24","","","","","","","강원특별자치도 속초시 조양동 1450번지 2호","강원특별자치도 속초시 해오름로 194-0 (조양동)","","속초해변자연박물관","2019-03-15 15:50:57","U","2024-10-11 02:40:00","","340242.727503574","522105.931421271","박물관","","20100706","사립","2종","유물관","20190524","건물임대 계약만료","0","","","","","",
"106","박물관, 미술관","03_07_05_P","6530000","B04012019000008","2010-02-03","","03","폐업","3","폐업","2020-01-08","","","","","","","강원특별자치도 영월군 남면 연당리 880번지 9호","강원특별자치도 영월군 남면 연당로 123-0 (세계민속악기박물관)","","세계민속악기박물관","2020-01-08 09:58:50","U","2024-10-11 02:40:00","","324910.608114284","410786.351771464","박물관","","20090512","사립","1종","전문박물관","20200108","경영상의 이유(2019.12.31일자 폐업사실증명:영월세무서 8009-575-2944-258 )","0","","","","","",
"107","박물관, 미술관","03_07_05_P","6530000","B04012019000018","2019-10-10","","03","폐업","3","폐업","2024-02-16","","","","","","","강원특별자치도 평창군 진부면 동산리 17번지 5호","강원특별자치도 평창군 진부면 오대산로 176-0","","왕조실록·의궤박물관","2019-10-08 14:43:05","U","2024-10-11 02:40:00","","341237.906250914","469660.318070337","박물관","","20191011","사립","1종","전문박물관","20240216","국립박물관으로 귀속","0","","","","","",
"108","박물관, 미술관","03_07_05_P","6530000","B04012013000009","2012-12-31","","03","폐업","3","폐업","2018-03-27","","","","","","","강원특별자치도 영월군 김삿갓면 와석리 595번지","강원특별자치도 영월군 김삿갓면 영월동로 2096","","동강디지털소사이어티","2019-03-15 15:45:47","U","2024-10-11 02:40:00","","342540.499902032","403485.192544705","박물관","","20120512","사립","1종","전문박물관","20180327","해외이전에 따른 폐관신청","0","","","","","",
"109","박물관, 미술관","03_07_05_P","6530000","B04012008000011","2008-07-23","","03","폐업","3","폐업","2017-12-20","","","","","","","강원특별자치도 영월군 김삿갓면 와석리 605번지","강원특별자치도 영월군 김삿갓면 김삿갓로 697-6","","묵산미술박물관","2018-02-27 09:37:19","U","2024-10-11 02:40:00","","342487.824752621","402692.232078753","박물관","","20011001","사립","1종","전문박물관","20171220","화재발생으로 건축물 및 소장자료 일부 소실","0","","","","","",
"110","박물관, 미술관","03_07_05_P","6530000","B04012010000004","2010-02-03","","03","폐업","3","폐업","2010-12-17","","","","","","","강원특별자치도 영월군 북면 문곡리 604번지 1호","강원특별자치도 영월군 북면 영월로 1229","","영월곤충박물관","2019-03-18 16:31:42","U","2024-10-11 02:40:00","","326246.963043384","413108.033774198","박물관","","20020505","사립","1종","전문박물관","20101217","과학관과의 이중등록에 따른 정리","0","","","","","",
"111","박물관, 미술관","03_07_05_P","6530000","B04012014000003","2014-09-29","","03","폐업","3","폐업","2019-03-11","","","","","","","강원특별자치도 강릉시 사천면 방동리 71번지 0호","강원특별자치도 강릉시 사천면 방동길 320-0","","부경민화박물관","2019-03-15 15:45:25","U","2024-10-11 02:40:00","","365180.290567009","482357.205926654","박물관","","20140927","사립","1종","전문박물관","20190311","교통사고 장애로 박물관의 지속 운영 불가","0","","","","","",
"112","박물관, 미술관","03_07_05_P","6530000","B04012018000007","2017-07-27","","03","폐업","3","폐업","2024-08-20","","","","","","","강원특별자치도 평창군 대관령면 용산리 649번지 1호  2동","강원특별자치도 평창군 대관령면 올림픽로 1169-0","","고려궁박물관","2022-07-15 10:34:17","U","2024-10-11 02:40:00","","345411.382710616","458662.298299928","박물관","","20180709","사립","2종","전시관","20240820","원에 의한 요청","0","","","","","",
