"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"62","박물관, 미술관","03_07_05_P","6530000","B04012013000016","2009-07-07","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 고성군 현내면 송현리 235번지","강원특별자치도 고성군 현내면 통일전망대로 369","","DMZ 박물관","2024-04-11 10:58:41","U","2024-10-11 02:40:00","","320425.576512588","564598.950388432","박물관","","20090707","공립","1종","전문박물관","","","0","","","","","",
"63","박물관, 미술관","03_07_05_P","6530000","B04012013000017","2013-03-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 강동면 정동진리 569번지 1호","강원특별자치도 강릉시 강동면 헌화로 990-1","","정동진시간박물관","2022-08-04 14:41:51","U","2024-10-11 02:40:00","","379656.470813302","466979.457377581","박물관","","20130109","사립","2종","전시관","","","0","","","","","",
"64","박물관, 미술관","03_07_05_P","6530000","B04012013000019","2013-03-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 강동면 정동진리 569번지 1호","강원특별자치도 강릉시 강동면 헌화로 990-1","","정동진시간박물관","2019-03-15 15:45:36","U","2024-10-11 02:40:00","","379656.470813302","466979.457377581","박물관","","20130318","사립","2종","전시관","","","0","","","","","",
"65","박물관, 미술관","03_07_05_P","6530000","B04012013000020","2010-02-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 김삿갓면 진별리 506번지 22호","강원특별자치도 영월군 김삿갓면 영월동로 1121-32","","영월동굴생태관","2023-08-16 15:18:38","U","2024-10-11 02:40:00","","336487.437166208","404277.963665438","박물관","","20090904","공립","1종","전문박물관","","","0","","","","","",
"66","박물관, 미술관","03_07_05_P","6530000","B04012021000001","2021-04-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 서면 금산리 985번지 2호","강원특별자치도 춘천시 서면 박사로 906-0","","붓이야기 박물관","2023-05-08 10:15:30","U","2024-10-11 02:40:00","","260854.706381906","488439.562899569","박물관","","20170811","사립","1종","전문박물관","","","0","","","","","",
"67","박물관, 미술관","03_07_05_P","6530000","B04012021000002","2021-05-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 흥업면 매지리 576번지 0호","강원특별자치도 원주시 흥업면 매지회촌길 79-1","","박경리 뮤지엄","2021-08-02 14:14:05","U","2024-10-11 02:40:00","","280817.592204818","417636.466833536","박물관","","20210531","사립","1종","종합박물관","","","0","","","","","",
"68","박물관, 미술관","03_07_05_P","6530000","B04012022000001","2022-03-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 북면 문곡리 340번지 1호","강원특별자치도 영월군 북면 밤재로 7-0 (영월지오뮤지엄)","","영월지오뮤지엄","2023-08-16 13:55:26","U","2024-10-11 02:40:00","","326965.955837366","417716.513181578","박물관","","20220302","사립","1종","전문박물관","","","0","","","","","",
"69","박물관, 미술관","03_07_05_P","6530000","B04012004000001","2002-05-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 석사동","강원특별자치도 춘천시 우석로 70 (석사동)","","국립춘천박물관","2014-01-02 12:44:45","U","2024-10-11 02:40:00","","266223.247379122","484850.347595121","박물관","","20021030","국립","1종","종합박물관","","","0","","","","","",
"70","박물관, 미술관","03_07_05_P","6530000","B04012004000003","2012-03-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 사농동","강원특별자치도 춘천시 화목원길 24 (사농동)","","강원특별자치도산림박물관","2024-01-23 17:18:47","U","2024-10-11 02:40:00","","263713.312701279","491433.342569779","박물관","","20021031","공립","1종","전문박물관","","","0","","","","","",
"71","박물관, 미술관","03_07_05_P","6530000","B04012004000004","1993-07-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 죽헌동","강원특별자치도 강릉시 율곡로3139번길 24 (죽헌동)","","오죽헌시립박물관","2019-03-14 13:28:46","U","2024-10-11 02:40:00","","365296.161122552","476700.344893482","박물관","","19921115","공립","1종","전문박물관","","","0","","","","","",
"72","박물관, 미술관","03_07_05_P","6530000","B04012004000005","2000-08-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 성남동","강원특별자치도 삼척시 엑스포로 54 (성남동)","","삼척시립박물관","2019-03-14 13:52:52","U","2024-10-11 02:40:00","","390958.781935186","439602.407984543","박물관","","20000329","공립","1종","전문박물관","","","0","0","","","","",
