"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물소극장업","03_10_03_P","4231000","CDFF1242022007000001","2007-07-18","","03","폐업","03","폐업","","","","","","","","강원특별자치도 속초시 금호동 473-83","강원특별자치도 속초시 중앙로129번길 9 (금호동)","217-807","중앙극장","2015-02-02 13:15:04","I","2023-06-13 00:00:00","","339189.655571549","523420.330835662","비디오물소극장업","","1","기타","","226.47","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"2","비디오물소극장업","03_10_03_P","4251000","CDFF1242022004000001","2004-12-29","","03","폐업","03","폐업","2006-01-26","","","","430-7801","","250-856","강원특별자치도 홍천군 서면 팔봉리 산 313-9","","","3D입체영화관","2009-03-18 10:24:18","I","2023-06-13 00:00:00","","","","비디오물소극장업","","20","기타","","197.95","19","1","콘도미니엄","1.2","0","0","0","","","","","","Y","","Y","Y","","","0","","","","","","근린상업지역",
"3","비디오물소극장업","03_10_03_P","4251000","CDFF1242022006000001","2006-01-26","2007-07-16","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","250-856","강원특별자치도 홍천군 서면 팔봉리 1290-1","","","3D입체영화관","2009-03-18 10:23:07","I","2023-06-13 00:00:00","","","","비디오물소극장업","","0","","","197.95","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","비디오물소극장업","03_10_03_P","4291000","CDFF1242022003000001","2003-04-15","","03","폐업","03","폐업","2009-04-17","","","","590-7700","","233-901","강원특별자치도 정선군 사북읍 사북리 424 0통0반","","","돔시네마","2009-04-17 13:15:57","I","2023-06-13 00:00:00","","361518.513221455","413851.267613498","비디오물소극장업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","Y","","Y","Y","","","0","","","","","","",
"5","비디오물소극장업","03_10_03_P","4291000","CDFF1242022003000002","2003-11-18","","03","폐업","03","폐업","2023-12-31","","","","590-7700","","","강원특별자치도 정선군 사북읍 사북리 424","강원특별자치도 정선군 사북읍 하이원길 265 (하이원리조트 3층)","26154","카사시네마","2024-01-19 09:51:28","U","2024-01-21 02:40:00","","361518.513221455","413851.267613498","비디오물소극장업","","0","","","447.9","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","주거지역",
"6","비디오물소극장업","03_10_03_P","4331000","CDFF1242022007000001","2007-01-19","","03","폐업","03","폐업","2018-03-14","","","","461-2226","","","강원특별자치도 인제군 북면 원통리 711-18","강원특별자치도 인제군 북면 원통로 171-2","","씨네파크","2018-08-10 14:52:43","I","2023-06-13 00:00:00","","305428.255558011","513979.933870283","비디오물소극장업","","3","유흥업소밀집지역","","36","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
