사업장명,최소거리
청재,0.032809879412594806
두리감자탕,0.042325682534865086
약사촌 닭갈비,0.04590381052328074
산마루,0.0301067741487085
58전집,0.07192695065697434
춘천뒷고기,0.0847758735999291
광치해장국,0.05325692145239224
낭만국시,0.052733082766224196
촌닭곰탕,0.01833049606230687
진미식당,0.06186944326060005
삐삐스넥1호,0.08955815015687463
봉실스넥,0.07946741381185735
국수나라,0.07418361525987799
곰스낵,0.049167018873488774
곱돌생삼겹살,0.06738196749186741
행복한두부,0.06342666049038867
춘천민물횟집,0.00828257645558093
펑펑펑미용실,0.022475131628989047
쌍다리이용소,0.053265693371362534
서울파크,0.04523001395677631
계림산장,0.0885885606049094
